Category,Product Name,Customer Rating,Sentiment,Emotion,text
Office & Stationery,Refill Isi Pulpen Frixion Pilot 0.7/0.5 atk - 0.5 HITAM,1,Negative,Fear,"Mengenai barang sdh sesuai...., respon sangat lambat. Saya minta dikirim pake sameday (6 jam). Barang baru diantar dan keterima di hari ke 3 (cat : transaksi sebelum jam 11 siang). Packing  barang saat pengiriman sangat seadanya. TIdak rekomendasi deh klw buat yang barang pengen buru-buru diterima/dipakai."
Office & Stationery,Document Bag Tas Dokumen Joyko DCB-49 - Bill,1,Negative,Anger,"barang tidak sampai,kembalikan uang saya..!!!"
Sport,5-60kg Adjustable Handgrip Hand Grip Alat Fitness Olahraga Otot Tangan,5,Positive,Love,Kualitas bahan mantap ??.
Health,Blackmores Pregnancy - Asupan Nutrisi Ibu Hamil dan Menyusui - Isi 60 Kapsul,1,Negative,Fear,"Toko tidak mengirim2kan barang smpai gagal pickup 3x entah apa yg membuat kendala toko, admin toko sangat tidak profesional, entah mmg pada gak bener saya jg tdk tahu, yang jelas semua berbelit2 dan gak jelas, pesan hari minggu dikirim hari Rabu , ini toko official store tapi sepertinya perlu dipertimbangkan lagi krna pelayanan sangat tidak baik. Sepertinya para pekerjanya yg gk bener, bungkus juga cm kardus doang tanpa dilapis apapun ."
Mother and Baby,Merries Pants Positive Skin L 36,2,Negative,Sadness,pengemasan cepat pngrimn cepat..produknyq beda kualitasnya yg ini kapasnya tipis bgt dan gmpng bocor.klihatn nerwang gx rata kpasnya d tgh gx ada kapasnya..pnts murah yahh..kemasn jg bolong�..biasanya sya beli gx kya gni amet..maaf ksh bntang 2
Toys and Hobbies,Jumping Pirates Roulette Family Game,1,Negative,Sadness,"barang kagak sampe,...beneran kagak sampe. gak jelas toko nya apa aplikasinya ini kecewa"
Men's Fashion,Military cap COMMANDO - Baseball cap Topi militer Topi Army Topi Baseb - GREEN,3,Negative,Sadness,ada sedikit cacat lipatan jahitannya
Other Products,karung plastik bekas beras putih 50kg,1,Negative,Anger,karungnya super tipis tidak sesuai di gambar
Carpentry,Kepala Portable Gas Torch Flame Gun Las Blow Torch Pematik Gas.,5,Positive,Love,"mantab. berfungsi dengan mantab, proses pengiriman cepat. TOP"
Computers and Laptops,Logitech M191 Mouse Wireless Full Size - Mid Grey,1,Negative,Sadness,Sangat kecewa. Baru 4 bulan scroll sudah rusak.
Books,Buku TOEFL CLIFFS. Buku TOEFL CLIFF,2,Negative,Fear,Tulisannya kayak kopian atau cetakan ulang
Women's Fashion,Kain Jarik Batik Idola kain batu halus idola super - batik klasik,3,Positive,Love,harga barang bagus bnget dan sesuai harga..... warnanya aja cepet pudar... sekali cuci aja udah langsung berubah
Toys and Hobbies,Kereta Thomas Mainan Thomas,1,Negative,Anger,kualitas main amat buruk.
Muslim Fashion,Mukena Dewasa Traveling Raveena - Lavender,2,Negative,Sadness,"Kali ini kecewa & kurang puas beli mukena dsini, packing standar, banyak noda kotor di bawahan mukena, bagian atasan mukena bnyak benang keluar jd kurang rapih, bahan seperti panas karna kasar bahan�y, warna pink�y tidak soft seperti gambar (maaf) pink�y seperti warna taplak meja hajatan, selera sih klo sya ga suka, beli saat flash sale, ukr sih besar cukup untuk orang bb 70kg."
Carpentry,Mata Bor Set + Fisher - Mata Bor Besi Kayu Beton - Mata Bor JLD Tool,5,Positive,Love,5 jempol buat reseller dan produk nya ??????????
Household,RB-C158 Kotak Sepatu Lipat Transparan Tebal ShoesStorage Box Organizer - Rak PUTIH,1,Negative,Fear,"Sudah kuduga kalau beli banyak, pasti ada beberapa yang barangnya dikasih dalam kondisi cacat dan ternyata beneran dong wkwk, yang pecah malah barang di urutan ke 4,9 dari total 24 item yang saya order + kualitas barang ternyata hanya plastik tipis(tidak sesuai perkiraan saya karena yang ditampilkan toko hanya tampilan depan saja) Overall i wouldn�t recommend this to y�all"
Kids and Baby Fashion,"Legging Stripe Anak Perempuan 7 - 13 Th / Leging Strip / Lejing Polos - Hitam, polos",3,Negative,Fear,"barang tidak sesuai dengan di foto, leggingnya jg ada yg sobek"
Kitchen,Dispenser Beras Tempat Wadah Penyimpanan Beras Rice Bucket E67/E79 - Biru-5kg,1,Negative,Sadness,Ga suka barangnya
Property,Jasa Duplikat Kartu Akses Apartemen/ Hotel - Polos,5,Positive,Happy,"puaasss selalu langganan disini bikin duplikat akses ku , proses cepat , eh ada bonus nya juga ya , terima kasih kak ??"
Party Supplies and Craft,Kardus untuk keamanan packing,1,Negative,Fear,"percuma tambah packing klo kardus susu tetap penyok.. cara kemas tuh jangan ngepres sama kardusnya, biar ketika kardus ketekan, kemasan susunya tidak rusak langsung..."
Household,Kent Microfiber Duster / Kemoceng KT-300E - 300E,1,Negative,Sadness,"kecewa order disini beli produk kenmaster tapi yg dikirim label yang berbeda dengan foto di etalase produk, bulu tipis dan ternyata gagang tidak bisa diperpanjang pula"
Phones and Tablets,Createkat Katfit Watch Band SPO2 Tracker - Biru,1,Negative,Anger,"toko gak bertanggung jawab, barang rusak yang dikirim ??, minta tolong barang diganti aja, alasannya banyak banget,. dan sampe skr juga barang yang saya beli gak di ganti2.. benar2 gak ada tanggung jawabnya sama sekali nih toko."
Men's Fashion,Techdoo Kaos Kaki Ankle All Size 35-45 Kaoskaki Pendek KK01 - Putih,5,Positive,Happy,"nyaman dipakai, halus juga, kerenlah. muat untuk kaki saya yang panjang"
Kids and Baby Fashion,Tas Sekolah Anak Laki Laki Sd Smp Gr RW402 Backpack Sekolah - Hijau,2,Negative,Sadness,"Pake seminggu udh rusak, bahannya ada sambungan yang brudul ga bisa dijahit ulang . waktu dtg masih rapi .kecewa......"
Other Products,SNEAKERS DEPT ADDITIONAL DOUBLE BOX,1,Negative,Anger,"RESCUE FROM DAMAGE BOX, ngga guna jg, nyampe rumah, boxnya penyok2"
Phones and Tablets,Samsung Galaxy A12 4/128 GB Garansi Resmi SEIN - Hitam,5,Positive,Happy,mantap langsung sampai ??????
Other Products,SNEAKERS DEPT ADDITIONAL DOUBLE BOX,1,Negative,Sadness,"saya udah pesen, tp gak ada :( ini emg kesalahan saya pas mesen atau gimana?? udah bayar box tp gak ada box kan sedih...boleh diulas bosku"
Men's Fashion,"Baju Tidur Piyama SWAN Pria PP Katun - M, Biru Muda",5,Positive,Love,"Bahannya adem,lembut,cocok dipakai dalam ruangan ber-AC dan bisa terhindar dari gigitan nyamuk. Jadi,rencana mau order warna lain lagi."
Computers and Laptops,Mini Keyboard Wireless i8 2.4G Handheld Keyboard untuk smart tv TV Box - TANPA BUBBLE,1,Negative,Anger,"keyboard tdk nyala sama sekali padahal baterai baru dicoba beberapa kali tdk bisa ,memang lebih murah dari toko lain ,barang tdk bisa sama saja bohong"
Camera,DJI OM 5 Athens Gray,4,Positive,Happy,"gimbal yang sangat cocok utk Iphone dan HP flagship yang sudah memiliki stabilisasi bagus. sehingga gimbal ini hanya penambah support supaya lbh stabil. samsung note 10+ berfungsi dengan baik. dengan catatan tdk boleh menggunakan casing. jika mau menggunakan casing, maka bantalan pad nya harus dilepas, bs dilihat pada foto. fungsi zoom berfungsi dengan baik, fungsi mode video ke kamera juga berfungsi dengan baik, ganti kamera depan dg belakang juga berfungsi dengan baik. cuma jika menggunakan HP murah (seperti xiaomi note 9), gambarnya lebih goyang ketimbang pake HP flagship. stabilisasi ketika tongkat tongsis dipanjangkan tidak direkomendasikan kalau digunakan sambil berjalan, hasilnya tidak terlalu stabil. bahkan jika tongsisnya dimajukan 1CM saja hasilnya sudah ga bgt stabil."
Computers and Laptops,"Usb HUB Vention 4 Port Usb 3.0 2.0 High Speed Power Adapter OTG - CHL 3.0, 0.15m",1,Negative,Sadness,"tidak berfungsi, tapi yaa sudahlah sudah ditambah daya pakai mikro usb cas hp tetap tidak bisa"
Books,KOSMOS by Carl Sagan,3,Positive,Happy,"Over all bagus, hanya pengirimannya sedikit bermasalah, terimakasih"
Kids and Baby Fashion,immo z7 jam tangan anak anti air,3,Negative,Fear,Ternyata tidak sesuai. Tidak dpat dipakai
Kitchen,Pematik Gas-Korek Api Kompor-Korek Gas Panjang-Lighter Pemantik Gas,4,Positive,Happy,bagus barang nya
Kitchen,"Tatakan roda tabung gas elpiji, galon air,serbaguna troy MASPION",4,Positive,Happy,"pas, bermanfaat jadi rapi dapurnya."
Women's Fashion,Daster Polos Ruffle / Daster remple Rayon - Mint,1,Negative,Anger,parah amat..d kirimnya baju bekas. klo mau jualan yg bener bu
Toys and Hobbies,GOLD FOIL KARTU REMI POKER ANTI AIR WATERPROOF KOLEKTOR CARD,5,Positive,Happy,"saya beli 3,,allhamdulillah barang sampai tujuan dan sangat memuaskan"
Movies and Music,Szs drum pad economist,5,Positive,Happy,"bagus, barang sampai cepat"
Electronics,Xiaomi Mijia Robot Vacuum 1C Cleaner 2500pa Suction - Robot Vacuum 1C - Global,5,Positive,Happy,Barang bagus dan berfungsi dengan baik. Hasil pengepelan juga bersih. Pengiriman cepat.
Body Care,Lifebuoy Shampo Anti Ketombe Anti Dandruff Milknutristrong 900Ml,5,Positive,Love,"langganan bulanan, recommended????? i"
Food and Drink,Don Bakershop Premium Choux - Box of 4,2,Negative,Sadness,"Rasanya tidak sesuai ekspektasi, bener� kecewa. Yang emak hanya VALRHONA CHOCOLATE, sisanya gak enak semua. INTINYA: KECEWA"
Movies and Music,pad drum 10 inchi murah,1,Negative,Fear,Qualitas jelek sekali. Bau seperti cat. Pad ya bergelombang
Office & Stationery,Papan Tulis Anak Tablet Belajar Menulis Menggambar LCD Writing 8.5 Inc - Merah,5,Positive,Happy,"Ok banget, beli 2 skaligus, barang baguss banget"
Men's Fashion,Stayhoops - Tali Masker / Strap Masker / Kalung Masker - Cyanea Strap,5,Positive,Happy,"Awet banget ni strap nya, enak juga tebel, jadi ga takut putus"
Sport,MINISO Matras Yoga Pola Garis Tubuh 5mm Matras Yoga Kebugaran Rumah - Abu-abu,2,Negative,Fear,"Biasa aja, toko tak mau terima pembatalan! Hati2 order disini"
Carpentry,Toolset ToolKit Dengan Box 16 Pcs HJ-C016,5,Positive,Happy,"pengiriman cepat, barangnya lengkap sesuai pesanan"
Toys and Hobbies,Kartu Remi Import Monarch Theory11 (Playing Cards),5,Positive,Happy,"mantap, barang bagus, pack juga aman banget. Bener2 recommended seller deh buat nyari playing card yg keren2 begini."
Phones and Tablets,Remax True wireless Stereo Earbuds TWS-21 - Putih,2,Negative,Fear,"yg sebelah cuma hidup sebentar, trs mati. dan terasa panas kaya ada yg konslet"
Household,MIISOO Kotak Masker/Tempat Masker Plastik/Kotak Masker Karakter - KOTAK POLOS,5,Positive,Happy,Barang sesuai dengan pesanan. Kotak maskernya lucu. Terima kasih
Office & Stationery,Papan Tulis Anak Tablet Belajar Menulis Menggambar LCD Writing 8.5 Inc - Merah,5,Positive,Happy,"Murah dan mudah digunakan, setidaknya nya bermanfaat dan packing cukup aman tebal bubble wrapnya. See you again"
Movies and Music,Suling YAMAHA YRS-23 Original / Seruling Yamaha,5,Positive,Happy,"bagus produknya, fast delivery. thank you seller ^^"
Animal Care,Life cat Kaleng 400gr - Makanan Basah kucing life cat kaleng 400gr,1,Negative,Sadness,barang tdk sesuai dg pesanan...klu tdk ada barang nya jng dgabti sm yg lainnya...sangat kecewa...
Kids and Baby Fashion,immo z7 jam tangan anak anti air,1,Negative,Sadness,"Jam nya mati tidak bisa di hidup kan(sudah di tekan tombol on/off), komplain tidak ada respon,tolong jgn jual jam mati/rusak atau di cek dahulu sebelum di kirim"
Sport,81CM Supreme Aluminium Alloy Tongkat baseball stick - Hitam,5,Positive,Happy,Pembelian kesekian kalinya! Puas??. Packing aman ??. Kuat dan kokoh.
Electronics,Senter Swat Mini Zoom / Senter Police LED- U3 5.0,1,Negative,Fear,"Harga murah, tapi fisik yang di terima gaa sesuai harapan, lampu di gagang gaa berfungsi, zoom besar kecil gaa berfungsi, lebih parah lagi, saya udah kasih waktu 3 jam untuk jawab keluhan saya via chat, tapi seller slow-slow aja, padahal online.. Utamain kepuasan pelanggan, jangan hanya nyari keuntungan semata, gaa bakal berkah.."
Office & Stationery,Correction Tape / Pita Koreksi Joyko CT-522,1,Negative,Anger,"Seller TDK Kooperatif, menyebalkan!!!!"
Phones and Tablets,"TRIPOD 2,1 METER Stand Kamera HP Selfie Make Up Vlog Live",2,Negative,Sadness,"barang tidak sesuai pesanan, tempat penyimpan hp nya tidak ada.. kecewa"
Beauty,FOCALLURE Makeup sponge makeup tools soft and professional FA93 - Waterdrop,4,Positive,Happy,Warnanya lucu ??. barang sesuai dan cepat sampai
Muslim Fashion,HIJAB SPORT INSTAN/ HIJAB OLAHRAGA/ HIJAB PET SPORT TERMURAH - Milo,4,Positive,Happy,"barang bagus, pet nya tebel"
Mother and Baby,Transpulmin Baby Balsam - 20gr,5,Positive,Happy,Menggunakan bahan alami. Melembabkan kulit bayi. Aman buat kulit bayi. Nggak memicu alergi. Penjualnya ramah banget.
Party Supplies and Craft,lilin angka gold / Lilin Ultah emas / Lilin Angka ulang tahun gold - tiga,1,Negative,Fear,ga sesuai ama yg di fhoto pas nyampe lilunnya kecil. buanged ukurannya
Sport,PREMIUM CELANA PENDEK LARI TRAINING GYM OLAHRAGA ZIPPER POCKET CASUAL - S21 BLACK M,1,Negative,Fear,Baru dibuka ternyata Robek.
Food and Drink,KERUPUK MAWAR PUTIH KHAS PALEMBANG 250 grm,5,Positive,Love,penjual responsive. barang sampai dengan selamat. sudah berkali2 order disini untuk saya bawa ke turki ka. terimakasih ya ka
Kitchen,[FREE BUBBLE] POMPA GALON AIR MINUM ELECTRIC WIRELESS,4,Positive,Happy,Material Produk Bagus. Kualitas Produk Bagus. Produk Sesuai. Produk Berfungsi Dengan Baik.
Women's Fashion,COMFEET - Kaos Kaki Mata Kaki / Ankle Socks Import Quality - White,4,Positive,Happy,Produk bgs packing bgs pengiriman cpt
Sport,PAKET Senter Kepala / LED Headlamp Cree XM-L T6 5000 Lumens,1,Negative,Anger,saya nanya baik ga niat komplain jg tp dijawabnya kok gini bgt sangat ga ramah sombong sekali
Sport,5-60kg Adjustable Handgrip Hand Grip Alat Fitness Olahraga Otot Tangan,5,Positive,Happy,"sesuai pesanan yaa,lama bgt smpx tp Kualitas bahan mantap ??. Dijamin Termurah. Berfungsi dengan baik."
Computers and Laptops,CoolCold Laptop Vacuum Vacum Cooler Cooling Pad Hisap Panas Notebook,5,Positive,Happy,"belanja kedua kalinya, selalu puas. pengiriman lumayan cepat. overall bagus banget"
Movies and Music,Szs drum pad economist,2,Negative,Fear,banyak yang tergores seperti bekas.habis itu bagian bawah kayunya patah!!!
Camera,kain background foto waterproof - Hitam,1,Negative,Sadness,"prod dikirim dgn dilipat,tdk digulung padahal utk background foto..jadinya ada bekas lipatan permananen"
Animal Care,Obat Kutu Hewan Anjing & Kucing Bahan Alami RACOON / Flea Remover,1,Negative,Sadness,"maaf saya kasih bintang 1 karena penilaian saya tergantung efektifitas produk yg saya beli ,ini gada efek sama sekali udh smpe hbis saya pakainya"
Tour and Travel,Sim Card Eropa 30 Hari | Europe Simcard 30 Days Include Swiss - 8GB,5,Positive,Love,Pesanan cpt diproses dan sy sdg pakai simcard nya di Eropa. Signal bagus. Recommend bgt.
Party Supplies and Craft,BALON FOIL ASTRONOT UFO GALAXY SERIES HAPPY BIRTHDAY PESTA MURAH - B0569 UFO,5,Positive,Happy,terimakasih
Body Care,Dove Body Wash Deeply Nourishing Refill 850 Ml,1,Negative,Anger,"BELI PEPSODENT PAKET 4 PCS TAPI YG DIKIRIM 2, DI COMPLAIN MALAH MINTA VIDEO UNBOXING. GUE TAU ISINYA KURANG KARNA GUE BUKA PAKETNYA! WEY KALO GUE TAU ISI PAKETNYA KURANG UDAH GUE BUAT VIDEO DARI AWAL!!"
Electronics,BASEUS LAMPU DINDING SENSOR OTOMATIS / MALAM / TIDUR LED KAMAR RUMAH - Aisle Light,1,Negative,Anger,Barang Ga bisa dipake ...lampunya Ga nyala dan sensornya rusak..
Kitchen,ES Rak Serbaguna Rak Dapur Tingkat Rak Kantor Rak Susun Rak 5 Tingkat - Silver,1,Negative,Anger,"over price dgn kualitas barang yg tidak kokoh dan melorot2 . Untuk seller ini saya review jujur ya jgn sembarangan bilang gak jujur! harga anda sama kualitas gak sesuai. Yg gak jujur adalah anda sendiri yg membujuk saya via chat merubah review dengan iming2 free gift, saya tolak krn itu membohongi diri saya sendiri. Berarti gak semua review itu asli mgkn sebagian bujukan seller untuk merubah review spy terlihat bagus pdhl mgkn kasusnya sama dengan saya kecewa dgn produk yg over price!"
Carpentry,Wallpaper Dinding 3D Foam Batu Bata 70cm x 77cm - Putih 70 x 38cm,1,Negative,Sadness,sangat tipis.kecewa sekali.
Books,Bumi Bulan Matahari Bintang Ceros Batozar Komet Minor Selena Nebula - SELENA,4,Positive,Happy,terimakasih buku sudah sampai
Kids and Baby Fashion,BAJU SETELAN ANAK LAKI-LAKI ASTRONOT UK 1-10 TAHUN - 3 TAHUN,3,Negative,Sadness,Sablonan kurang bagus. Pas di cuci ancur sablonannya
Mother and Baby,"Mamaway Korset Pelangsing Pasca Melahirkan Nano Bamboo - Abu-abu,M",2,Negative,Sadness,saya bru pakai 4 hari tp sdh berbulu dan kelipet2..
Sport,"Atalon Running Pants - Celana Pendek Ringan Lari Jogging Marathon - Hitam, M",5,Positive,Happy,"Nyaman dipakai ??. enak sih dipakai, kantong belakang ngebantu banget buat nyimpen hape."
Sport,Extreme Fishing Pen Pancingan Pena Mini Saku Portable,1,Negative,Anger,"Tko libur ga ad pmbritahuannya pdhl aq psn sblm tgl merah,chat dibls cm stu kta slma 1x24 jam,hmpir sja kulaporin ke pusat bantuan"
Precious Metal,RM 5 gram 2022,5,Positive,Happy,"Produk sesuai, pengiriman cepat dan packaging aman. Terima kasih seller!"
Carpentry,Lem sepatu super kuat bening(transparant) 100ml Dyron,1,Negative,Sadness,lem gak kuat
Mother and Baby,"Mamaway Korset Pelangsing Pasca Melahirkan Nano Bamboo - Abu-abu,M",5,Positive,Happy,"kualitas barang bagus, dengan harga yg worth the money...bahan nya halus dan tidak gatal kata istri saya."
Beauty,MAKE OVER Powerstay Transferproof Matte Lip Cream 7 g - Lip Cream - B03 Hype,5,Positive,Happy,Hasilnya tahan lama. Proses pesanan cepat. Packaging rapi. Respon penjualnya top.
Carpentry,Cat tembok Interior Nucolour 25 kg tidak ngapur,5,Positive,Happy,"kwalitas bagus,harga terjangkau"
Food and Drink,Basreng Hah pedas daun jeruk 1kg - Original Asin,1,Negative,Anger,"Rasa tidak sesuai, gk ada kerasa daun jeruknya.BAD TASTE"
Sport,Senter Kepala COB LED Rechargeable / HEADLAMP SOROT,1,Negative,Sadness,"tali senter kepala ,berubah... gak bagus.... kecewa."
Automotive,Disinfektan Fogging Mobil ZONE Odor Eliminator Anti Virus ZONE - menthol,1,Negative,Anger,disuru pilih aromanya tapi yg dikirim gak sesuai... coba donk klo dagang online yg sesuai pembeli. pembeli adalah raja. belinya pake uang kok tdk minta
Household,Payung ajaib 3D lipat payung magic keluar motif bila kena air pink - Ungu,4,Positive,Happy,"masyaallah bagus payung nya.. untuk pertama kali gunain Tokopedia langsung beli payung ditoko ini.. tidak mengecewakan pokok nya, barang nya masyaallah bagus..????"
Carpentry,4in1 Mineral Ion Shower Head|| Water Filter Ionizer for Healthy Life,2,Negative,Sadness,"Packingnya parah cuma di masukin ke dalam kantong plastik hitam, tidak ada kardus dan tidak di lakban cuma di ikat biasa aja, biarpun pengiriman cepat tapi packing sangat mengecewakan. Barang belum di test, semoga bisa berfungsi dengan baik"
Muslim Fashion,"Celana Pangsi Sirwal Murah - M, Merah",2,Negative,Sadness,"yg abu aga tebel bahannya, yg hitam tipis bangt sedih"
Office & Stationery,Cable Ties Nylon Kabel Tis Pengikat Nilon Joyko - CBT-9 10cm,1,Negative,Anger,Pengiriman lambat polllllll!!! Ga pantes jadi official Store.
Kids and Baby Fashion,Tas Sekolah Anak Laki Laki Sd Smp Gr RW402 Backpack Sekolah - Hijau,4,Positive,Happy,"barang bagus sesuai harga, fast respon"
Kids and Baby Fashion,BAJU SETELAN ANAK LAKI-LAKI ASTRONOT UK 1-10 TAHUN - 3 TAHUN,5,Positive,Happy,bagus kak baju nya jahitan nya rapi cocok untuk pakaian sehari hari harga sesuai pelayanan nya bagus
Camera,Background Foto Hijau Polos / GREEN SCREEN Back Ground Drop Studio Spu,5,Positive,Happy,"respon cepat, gosend ke Pamulang cepat, dapat diandalkan tepat saat dibutuhkan, kualitas okeee bgt untuk harga segitu, hasil juga cukup memuaskan, thank youuu"
Health,Ensure Vanila 900 g Susu Nutrisi Dewasa Rendah Laktosa - 3 klg,5,Positive,Happy,"Produk sesuai deskripsi.Packing rapi dan aman dengan dus dan bubble wrap. Pengiriman cepat. Pagi pesan, sore sampai."
Household,GM Bear Alat Pel Lantai Ultra Mop Aclima 1354-Spin Mop Mint,1,Negative,Anger,"tidak ada lapisan pelindung sama sekali, entah itu plastik ataupun wraping. dus yg diterima dalam keadaan penyok, ember banyak lecet. pengiriman sangat lama dari hari minggu sampe nya hari Rabu, padahal masih sama Jakarta. padahal beli nya di toko official resmi. lebih bagus beli di toko yg biasa. sebelumnya saya beli ditoko yg biasa buat hadiah 1 hari sampe, harga lebih murah packing bagus. ini toko resmi malah hancur, mana buat hadiah lagi. tutup aja tokonya...????????"
