Category,Product Name,Customer Rating,Sentiment,Emotion,text
Toys and Hobbies,sale promo hot wheels curah/murah/mobil hotwheel/terbaru - 52 chevy,2,Negative,Fear,"ternyata bukan ori,harga sesuai kualitas ya 10rb bahan plastik,harusnya dikasih keterangan di deskripsi,"
Phones and Tablets,MILS Paperlike Matte Anti Gores iPad 8 10.2 Pro 11 Air 3 10.5 4 10.9 - iPad 10.9/11,4,Positive,Happy,produk ok. cuman teksturnya terlalu kasar. overall positive. thanks seller
Movies and Music,Joyo JCP-01 Capo Gitar Akustik dan Elektrik - Cokelat Kayu,5,Positive,Happy,bagus sesuai
Food and Drink,Paket Hemat Minyak Goreng Rose 2L & Gula Kuning 1KG Rose Brand,5,Positive,Love,"sesuai,proses n pengiriman cepat,responsif,recommended,barokah,terima kasih"
Animal Care,Wood Pellet / Pelet Kayu / Alas Kandang 1 kg,5,Positive,Happy,barang bagus dan layanan bagus
Sport,"Sepatu Bola Bahan Kulit - Hitam, 39",1,Negative,Anger,barang palsu asli kw
Body Care,Whisper Pembalut Wanita Regular Flow 40's,1,Negative,Fear,"order dari tgl 26 nov, baru sampai tgl 05 dec ?? padahal order dari official store.. itupun setelah kemarin saya follow up sendiri ke ekspedisinya karena status di toped masih menunggu pick up paket sampai pun tidak dipacking dengan aman, hanya selembar plastik & basah kena hujan.. kapok ga berani lagi belanja disini??melulu ??, dichat ke penjual, yang balas sistem dan hanya info masih menunggu pick up."
Camera,Tripod Mini - Tripod Mini Simple - Tripod Mini - Tripod Free Holder - Hitam,1,Negative,Sadness,"barang jelek, belom d pake udah pada patah"
Mother and Baby,"merries S , M , L , XL - L36",4,Positive,Happy,produk sesuai pesanan
Books,Buku Filosofi Teras - Original,4,Positive,Happy,barang tiba dengan cepat sesuai standar pengiriman. tapi untuk kondisi buku ada cacat di tepi buku. tapi gapapa
Health,Stella Parfum'ist Smart Matic Caffe Latte,1,Negative,Anger,"barang yg dikirim ga ada remote nya, ga lg belanja disini, toko kurang teliti�"
Tour and Travel,Royal Tulip Gunung Geulis Resort and Golf,5,Positive,Love,"best bgt sih ini, fast respon, best price, prosesnya cepet bgt, satu lagi helpfull dibantuin ganti tgl karena di tgl pas booking mendadak ada halangan kirain bakal hangus tiketnya gak taunya dibantu proses reschedulenya pokoknya best bgt bakal jadi langganan"
Body Care,Dettol Sabun Cuci Tangan Original 400ml Pouch x 4 Pcs,1,Negative,Sadness,"barang sdh smp, udah gitu kurirnya ngaco...barang blm diterima direport udh diterima. trs, gak dpt pc blackpink nya. bkn nya klo ada tulisan bebas ongkir ekstra itu hrsnya dpt pc blackpink ? krn yg sblm2nya sy belanja di store lain, yg ada tulisan bebas ongkir ekstra, pasti dpt pc blackpink. ini lupa atw bgmn ? jujur kecewa..."
Animal Care,Makanan kucing - Bolt Repack 1kg - Bolt Ikan,1,Negative,Anger,barang pesan 3 kg dikirim 1kg brengsek
Kids and Baby Fashion,Tas Sekolah Anak SD Laki Laki - C. America Navy,1,Negative,Anger,"bahan tipis, kualitas buruk"
Body Care,Twinpack Instance Hand Sanitizer Alcohol 75% 500 ml,1,Negative,Sadness,"pelayanan lambat, beli tgl 3 baru sampai tgl 9, setiap di trace selalu gagal pickup, katanya lg maintenance tp ga bilang ke pelanggannya. sangat mengecewakan."
Health,Peppermint Essential Oil / Minyak Mint Aroma Terapi Pure 10ml - MUSIM,5,Positive,Happy,"seller ramah dan informatif, proses dan delivery cepat, packing rapih dan secure. thanks for the sample bonus."
Automotive,"carburator cleaner atau pembersih karbu dan injeksi,RONEVE isi 500ml",1,Negative,Fear,"mohon maaf dikasih rating segini, karena barang yg dikirim tidak sesuai dan tidak ada follow up untuk penggantian barang, semoga kedepan dapat ditindak lanjuti, terima kasih banyak sebelumnya"
Food and Drink,TUKU - TUKUCUR Kopi Susu Tetangga 1 Liter - Normal,1,Negative,Sadness,aku dikirimin kopi langsung masukin kulkas. besok di cobain basi ??
Other Products,"Hang Tag Label / Hang Tag Baju / Pakaian / Kartu Ucapan - Art Carton 210, Custom Size",2,Negative,Sadness,pemesanan kedua tapi hasilnya tidak rapi dan mengecewakan. laminatingnya mengelupas di pinggir2 dan potongannya tidak rapi. bolongan juga menonjol dan acak2an.
Other Products,"FULL SET BAKO BERKUALITAS AA, ALAT SLOROK BIRU - MlllLL BIASA",5,Positive,Love,"mantap barangnya sesuai,bagus makasih min??????"
Women's Fashion,Tanktop Singlet Dalaman Wanita Gaya Korea - Jfashion Naraya,5,Positive,Happy,"pengiriman cepat, packaging rapi, produk sesuai pesanan, kualitas produk sesuai harga"
Automotive,BASEUS VEHICLE HOOK GANTUNGAN MOBIL CAR HANGER HOLDER - Hitam,1,Negative,Anger,sampah bgt! mohon jangan di beli produk se sampah ini
Women's Fashion,"PVN Kara Sepatu Sneakers Wanita Sport Shoes Candy Pink White Blue 372 - Candy, 38",4,Positive,Happy,ukurannya lebih kecil dari 40 pada umumnya. sisanya ok.
Kids and Baby Fashion,Tas Sekolah Anak SD Laki Laki - C. America Navy,1,Negative,Sadness,tak seindah yg dibayangkan
Computers and Laptops,"Usb HUB Vention 4 Port Usb 3.0 2.0 High Speed Power Adapter OTG - CHL 3.0, 0.15m",1,Negative,Sadness,"tidak berfungsi, tapi yaa sudahlah sudah ditambah daya pakai mikro usb cas hp tetap tidak bisa"
Health,Sensi Convex Mask 4 ply Earloop / Masker Sensi 4ply - Putih,3,Negative,Fear,dusnya robek dan terbuka kemasannyaa
Sport,Speeds Door Chinning Bar / Pull UP bar Speeds / Iron Gym 013-4,1,Negative,Fear,"barang tidak dikirim, dikasih resi kosong"
Phones and Tablets,"KABEL DATA LED BASEUS HALO FAST CHARGING IPHONE/MICRO USB/TYPE-C 1M - Hitam, TYPE C",4,Positive,Happy,sesuai dg deskripsi produk
Party Supplies and Craft,lilin tealight / lilin tungku aromaterapi / lilin pesta - type 303,5,Positive,Happy,"lilinnya bagus, tidak berbau & tahan s/d 5 jam"
Food and Drink,Mujigae Topokki 170gr / Tteokbokki Instan / Tokpoki / Topoki,1,Negative,Anger,lama banget sampenya..pas nyampe jamuran gini..haduuh..parah deh
Kitchen,GM Bear Set Pisau Dapur isi 5pcs Hitam 1083-Pisau Set 5 Pcs,2,Negative,Sadness,"yang datang merk buck-i entah karena promo atau apa, tapi belum sempat take a picture, nanti saya update lagi ulasanya,barusan saya search buck-i knife, lebih murah.kalau memang mau ngadain promo, jual barang yang bener,saya kecewa sekali dengan brand gm yang sudah saya percaya berkali kali,"
Kitchen,Tefal Cook & Clean Frypan 24cm Wajan Anti Lengket,5,Positive,Happy,"produk nya bagus, sesuai deskripsi ????"
Health,Imboost Tablet Daya Tahan Tubuh - 1 Strip @10 Tablet,5,Positive,Happy,barang diterima dengan baik. terimakasihh ya... semoga bermanfaat.
Household,MINISO Tempat/ Tong Sampah Plastik Meja Mini Trash Bin Garbage - Hijau,2,Negative,Fear,kondisi barang agak kotor & sulit dibersihkan
Kitchen,Matougui Botol Minum A36321-3 500ml Termos Vaccum Cup Panas Dingin - Biru,2,Negative,Anger,barang tidak sesuai gambar. payah
Tour and Travel,South Korea Simcard korea selatan sim card kartu data internet Seoul,5,Positive,Happy,response selalu cepat. barang sampai cepat. tidak pernah masalah. kartu langsung aktif
Household,Triple W Smart LED Digital Alarm Clock Jam Meja Weker Lampu Tidur - Hitam,5,Positive,Happy,jam digital unik ini lebih ke fungsi alaram yg lengkap.. syg tdk ad fungsi penunjuk tgl.bln dan tahun. petunjuk di deskripsi sangat membantu permudah mengenal fungsi2 jam alarm ini.. respon penjual dan pengiriman cepat.. thanks..
Mother and Baby,Merries Pants Positive Skin L 38,1,Negative,Sadness,gak ada packingnya blas cuma di kasih tempelan doang????????
Beauty,Madame Gie Silhouette Eyeliner Small (48 Jam) - Lime Green,2,Negative,Sadness,"pesen white & silver, yg dikirim white & red.. kecewa ga sesuai pesanan"
Muslim Fashion,Pashmina Sabyan Diamond Kerudung Jilbab Pasmina Panjang - PS G.Bottle,2,Negative,Fear,"pashminanya pendek, gak seperti yang ada di deskripsi"
Health,FLIMTY FIBER 2 BOX PELANGSING FREE ONGKIR SLIMMING - Blackcurrant,5,Positive,Happy,puas ini mao pesen lagi ya kak
Camera,Adapter TRRS to TRS 4 Pin to 3 Pin 3.5mm Converter Mic Camera DSLR,2,Negative,Sadness,tidak berfungsi. mau retur tapi berat di ongkir. mungkin kedepannya boleh di test terlebih dahulu sebelum kirim
Movies and Music,"Stand Mic Meja klip / Boom Arm Microphone suspension Podcast,Gaming",4,Positive,Happy,"nyampenya cepet, kualitas seusai"
Gaming,PS2 HDD 120GB FAT Sony Asli Full Games + 2 Stik - MESIN AJA,4,Positive,Happy,respon seller ok.barang sesuai deskripsi dan mudah pemasangan sejauh ini puas. saran membangun untuk stik ps bawaan bisa ditingkatkan atau ada pilihan upgrade stik.overall worth untuk harga segini. pengiriman tiba sesuai jadwal meski di akhir. ??
Food and Drink,10 Pcs Pisang Goreng Madu Bu Nanik (RESMI),5,Positive,Happy,"respon seller ok banget, pisangnyaaa enakkk manis nagih"
Health,Sensi Convex Mask 4 ply Earloop / Masker Sensi 4ply - Putih,5,Positive,Love,"pengiriman kilat, cepet banget nyampenya beli malem dan saat itu juga langsung dikirim. harga juga jauh lbh murah. terima kasih!"
Women's Fashion,Tanktop Singlet Dalaman Wanita Gaya Korea - Jfashion Naraya,4,Positive,Happy,kaosnya enak di pakainya
Animal Care,Sisir Bulu Hewan Anjing Kucing - Premium Auto Clean Dog Slicker Brush - Hijau,5,Positive,Love,"bagus banget sisirnya, mudah2an awet"
Toys and Hobbies,sale promo hot wheels curah/murah/mobil hotwheel/terbaru - 52 chevy,1,Negative,Fear,"barang palsu, bukan hot wheels original... made in china bukan made malaysia spt diskripsi"
Men's Fashion,"Sepatu Karet PVC Anti Tembus Air Banjir Hujan AP BOOTS MOTO 3 MOTO3 - Hitam, 44",1,Negative,Sadness,"bertanya 43, dijawab ready, dikirim 38, tuker ga boleh.. kecewa sangat"
Men's Fashion,Bowin Masker Bomber - 2x Anti Bakteri & Percikan (Masker Kain 4 Lapis) - PRO REGULER,5,Positive,Happy,"packing rapi, barang sesuai deskripsi. mantep lah."
Computers and Laptops,Xiaomi Xiaovv Webcam 1080P USB Camera Full HD with Mic Webcast Live,1,Negative,Sadness,"packing seadanya, bubble hanya selapis saja ditambah lapisan plastik, hasilnya barang diterima dalam keadaan patah."
Household,Over Steker Adaptor Kaki 3 ke 2 Travel Adapter Colokan Universal Swit,2,Negative,Fear,"harga terjangkau. tetapi ada dua adaptor yg tidak bisa berfungsi tidak ada power sama sekali setelah di cek engineering saya jg sama sekali tidak bisa di betulkan. please check properly before you sent the packages,and make sure all the item works."
Health,Zambuk Obat Luar 8 gr,5,Positive,Happy,mantap sesuai pesanan trimakasih
Party Supplies and Craft,Gantungan kait lengket transparan mudah dipasang kamar mandi dapur,1,Negative,Sadness,barang tidak ada dalam paket
Camera,"Costa CB-A1hp Overhead Boom Arm Braket Kamera HP Flat Lay Video,Foto",5,Positive,Happy,produk sampai dengan baik dan dikemas dengan rapi dan kedap. sesuai deskripsi dan tanpa cacat. harga produk yg ditawarkan wajar. response seller juga cepat dan pengiriman juga relatif cepat. terima kasih dan sukses selalu.
Food and Drink,"KURMA MEDJOOL ARIHA PALESTINA @500 gr , MEDJOL MEDJOUL DATES PALESTINE",5,Positive,Love,"kurma medjol palestine emang fave aku bgtt.. legit ga trllu manis, bijinya keciiil, dagingnya jumbo, cocok utk ibukku yg kebetulan diabetes.. tp baru pertama beli disini. makasi ya ka, pengiriman cpt 1hri aja.. makasi jg tokped dah gratis ongkir, semoga allah swt memberkahi kalian"
Camera,"Frame Foto, Bingkai Foto, Pigura Foto A4 (21x30) Murah - Hijau",5,Positive,Happy,alhamdulillah untuk pengiriman yang kedua tidak pecah dan aman sampai tujuan ????
Kids and Baby Fashion,Jam Tangan Anak Pilot Perempuan Atau Laki Laki Anti Air - Putih,2,Negative,Fear,"tidak sesuai dengan yg dipesan, harusnya hitam 1, merah 1, pengiriman lama."
Automotive,Black Retrim - Penghitam Bodi Plastik Dasbor Motor Mobil Permanen,1,Negative,Anger,"pengriman lama, bukan dr kurirnya, tp sellernya yg lemot krim ke ekspedisi nya, dn barang juga kurang 1pcs"
Body Care,Folti baffi cream wajah penumbuh jenggot jambang kumis pria sdh BPOM,1,Negative,Sadness,"nyesel setengah mati beli ni produk, beli gara2 liat ulasannya kok positif semua.. sumpah ini krim baunya ga enak banget, kalo boleh digambarkan baunya itu perpaduan antara muntahan bayi dan minyak nyong2 om2, iya separah itu.. ini yg pada kasi ulasan idungnya pada mati rasa ato gmn ya ?????? .. pengiriman sih cepat dan bagus, but sorry, the product is a nightmare + very pricey.. tau gini gw ttp beli wak doyok yg wanginya jauh lbh enak dan jauh lbh murah.. this cream is really2 not recommended!"
Party Supplies and Craft,HARGA GROSIR KEMBANG API ROMAN CANDLE 8 SHOTS 0.8' (SATUAN)!!,5,Positive,Love,"mantaaaappp,sudah tersumet dengan sempurna"
Muslim Fashion,Masker Hijab 3 ply | Masker Headloop Kain Polos Warna model Evo - Hitam,2,Negative,Sadness,"kecewa deh ... order warna hitam & navy, dikirim dua2nya warna navy. alhamdulillah, ga langsung beli banyak, nyoba beli sedikit dulu."
Carpentry,Wallpaper Dinding 3D 70 x 70 cm Foam Serat / Motif Kayu BB - Kolase,1,Negative,Sadness,"no recomend, order yg mana di kirim mana....mengecewakan"
Muslim Fashion,Mukena Anak Fruits ( Tas Canvas ) - Ungu,5,Positive,Love,masyaaallah bagusss muraaahhhh jangan ragu order mukenah disini asli sd survey bbrp seller offline n online disini murah harganya barang sama dg yg diluaran yg harga mahal��jangan ragu beli ditoko ini ya ????
Health,Masker Evo PlusMed 4d Medis - Putih,5,Positive,Happy,pengiriman aman dan lmyn cepat.. barang diterima jg bagus
Women's Fashion,"Clouwny - clouwny chinos pants katun strech dan fit di kaki - Taupe, All Size",3,Negative,Fear,menurut saya barangnha kurang bagus. sorry banget ya biasa belanja disini barangnya bagus bngt tp untuk ini kurang. celana ini sering banget aku pake karena enak dan nyaman dan seminggu aku cuci 1x tapi bahannya jadi jelek. gampang robek dan jadi kayak digambar ini
Tour and Travel,South Korea Simcard korea selatan sim card kartu data internet Seoul,5,Positive,Happy,"wo <URL> thanks banget untuk kartunya, sangat amat menolong sekali buat backpackeran dikorea"
Beauty,MAKE OVER Powerstay Transferproof Matte Lip Cream 7 g - Lip Cream - B03 Hype,1,Negative,Sadness,sangat mengecewakan barang dikirim tidak sesuai dengan deskripsi permintaan pembeli
Camera,Microphone Boya BY MM1 CardioId Shotgun mic DSLR / Handphone - MM1,3,Negative,Fear,"saya melihat review produk ini , hasil suara kualitas di youtube , lumayan bagus. tapi kenapa berbeda ya ketika beli barang nya. noise nya masih terdengar meskipun pakai deadcat di indoor. dan ga compatible juga sama splitter jack."
Muslim Fashion,HIJAB VOAL |VOAL ULTRAFINE | LUNA VOAL YOUTHSCARF (basic colour) - LV-DENIM,5,Positive,Happy,tidak menerawang. bahannya adem.
Toys and Hobbies,DART GAME BESAR Papan Dart Board Besar 17  004-3 1PC=1.2KG - 12 inch 004-1,1,Negative,Fear,"hati hati ada jebakan. be careful. judul dan deskripsi tertulis dart game besar 17 isi paket : 1 buah papan dart 17 inch, kenyataannya, yg dikirim hanya ukuran 15 (15 inch). be careful."
Carpentry,Filter Air REMAX / Saringan Air / Filter Keran Air,1,Negative,Fear,baru satu hari sudah mampet dan sulit dibersihkan..sepertinya kurang recomended produk ini
Movies and Music,MIXIO Sound card V8 Mixer SoundCard V8 MIXER Audio USB External,1,Negative,Fear,produk tiruan cacad .gx bisa ricord .untuk pembeli lain sebaiknya jangan beli produk ini kalo tidak ingin rugi. lebih baik beli merk taffware atau taffstudio yang sudah lama produksi v8. casing boleh sama tp kualitas jauh sekali. dri pada buang buang duit . clip on aja bisa ricord suara ini suondcard gx bisa . product sangat gx jelas
Camera,RING LIGHT LED 33CM + TRIPOD PAKET KOMPLIT VLOGER MAKE UP LIVE - TRIPOD 1M,5,Positive,Love,produk sesuai deskripsi. semua fitur berfungsi baik. walopun packing sederhana n kreseknya jebol karna but over all barang berfungsi dengan baik thx recomended seller
Camera,"lensa jepit / cliplens camera 3in1 ( fish eye , wide , macro ) untuk semua kamera hp bb , iphone , samsung , dll",1,Negative,Anger,"toko terbodoh yang pernah ada! 1. packing ancur, tidak di packing sama sekali barang rusak. 2. pesanan tidak sesuai. 3. tujuan saya membeli di toko bodoh ini adalah membeli usb mini fan, sebelum order tanya apakah barang ini ready? toko menjawab ready. hasilnya paket sampe di rumah di selipin uang refund usb mini fan tersebut. klk barang kosong cancel aja tolol. saya harap para customer berpikir berkali kali untuk belanja di toko tolol ini. dari pada kecewa setelah membeli nya. terimakasih."
Automotive,BASEUS VEHICLE HOOK GANTUNGAN MOBIL CAR HANGER HOLDER - Hitam,1,Negative,Sadness,admin ga niat kerja.. komplain tidak selesai.. sudah minta bintang.. ya sudah kasih bintang 1. kasihan bosnya punya karyawan yg tidak ada empati sama komplain (tidak pernah update perkembangan komplain)
Kids and Baby Fashion,Jam Tangan Anak Imo Z6 Imoo Dua Kamera Smartwatch Anak Imo Imoo Kidz - Biru Muda,5,Positive,Happy,"barangnya udah kami terima, terimakasih gan"
Women's Fashion,Ikat Pinggang Wanita Elastis Fashion Gasper Sabuk Karet - #8,5,Positive,Love,"bagus bngt,cmn klau bisa dpercepat pengirimannya ya kak lain kali"
Office & Stationery,"Notebook #Binding/ Custom/ Planner Dotted/ Grid/ Journal/ Agenda - garis, Hitam",1,Negative,Anger,"pengiriman lama, barang nya cacat tolong diperbaiki layanan nya !"
Other Products,"Hang Tag Label / Hang Tag Baju / Pakaian / Kartu Ucapan - Art Carton 210, Custom Size",5,Positive,Love,"mantap, sesuai ekspetasi, proses cepat, sipp lahhhhhhhhhhhhhhhhhhhhhh ????????????????????"
Kids and Baby Fashion,"Masker ANAK ANAK 3 ply isi 50pcs kids 3-14thn face mask earloop - Putih Polos, Chasa Kid",3,Positive,Happy,lumayan buat dipake hari2 tp ga ada certificatenya
Movies and Music,Phantom Power Microphone 1 Channel 48V Supply for Condenser Microphone - Tanpa Kabel,2,Negative,Fear,gak bisa dipake bunyi kemeresek
Automotive,MPX2 OIL OLI MPX2 MATIC FOR HONDA,1,Negative,Sadness,"packing nya bocor,oli kemana mana kecewa."
Beauty,NEW ARRIVALS RAK KOSMETIK MULTIFUNGSI RAK KOSMETIK 3 LACI KOTAK MAKEUP - Putih,5,Positive,Happy,"barangnya bagus, cuman agak berdebu aja."
Computers and Laptops,SanDisk Cruzer Blade 16GB CZ50 Flashdisk,5,Positive,Love,"barangnya sudah sampai, cepet banget. recommended lah. tengkyuuu"
Camera,Alas Foto 3D Midio Motif Cement Background Foto 3D Ukuran 53x100cm,3,Negative,Sadness,"barang udah sampai, tapi kondisinya sobek"
Animal Care,MAXI Cat Food repack 500 gram & 1kg chicken tuna - Makanan kucing - 1 kg,2,Negative,Fear,"pembelian ke 2 beda 10 hari aja, kenapa pelet maxi nya beda ya, lebih kecil2 dr biasanya dan warna lebih gelap. aroma juga beda."
Food and Drink,"KURMA MEDJOOL ARIHA PALESTINA @500 gr , MEDJOL MEDJOUL DATES PALESTINE",5,Positive,Happy,"empuk manis gede dagingnya, kecil bijinya. respon seller cepat, gratis ongkirnya juga cepat sampai. mantap deh. pasti bakal beli lagi disini."
Other Products,"Hang Tag Label / Hang Tag Baju / Pakaian / Kartu Ucapan - Art Carton 210, Custom Size",2,Negative,Sadness,pemesanan kedua tapi hasilnya tidak rapi dan mengecewakan. laminatingnya mengelupas di pinggir2 dan potongannya tidak rapi. bolongan juga menonjol dan acak2an.
Women's Fashion,COMFEET - Kaos Kaki Mata Kaki / Ankle Socks Import Quality - White,4,Positive,Happy,produk bgs packing bgs pengiriman cpt
Body Care,Twinpack Instance Hand Sanitizer Alcohol 75% 500 ml,5,Positive,Happy,"barang sesuai deskripsi, cepat sampai"
Men's Fashion,Celana Pendek Surfing Boxer Pantai/ Celana Tidur Pria - RANDOM,5,Positive,Happy,"seller fast respon , barang cepat sampai,packing rapi, barang sdh dicoba sesuai order, nyaman dipake. makasih nowway????"
Sport,Extreme Fishing Pen Pancingan Pena Mini Saku Portable,5,Positive,Happy,"trmksh barang sesuai pesanan, fungsi normal... tingkatkan terus pelayanan..."
Muslim Fashion,sejadah travel serut - Biru,4,Positive,Happy,bahannya tipis & agak kasar. pengiriman cepet..
Men's Fashion,"baju tidur pria / piyama cowok dewasa aneka motif - kotak 8, XXXL",5,Positive,Happy,"terima kasih paketnya sudah sampai.. barangnya bagus banget, sesuai dengan foto, dan muat pakai baju ini.. senang banget ???????? ramah orangnya juga ??"
Food and Drink,"Kimchi Fresh Homemade 1 Kg - Tdk Bubble Wrap, Potong, Normal",5,Positive,Love,"luar biasa respon dan pengirimannya.. siang pesan, malam tiba.. luar biasa.. ??????"
Party Supplies and Craft,Balon LED RGB LENGKAP 2/BOBO LED/Balon Lampu Tumblr 3 MODE + Gagang,3,Negative,Sadness,"susah payah narik balonnya biar mekar, eh bolong..."
Computers and Laptops,Fantech OCA258 / OC-A258 Kursi Kerja Kantor Premium Office Chair - Pink,5,Positive,Love,"cakep bet dah, mau duduk aja di kursi ini sampe ga mau berdiri lagi rasanya"
Carpentry,Wallpaper Dinding 3D Foam Batu Bata 70cm x 77cm - Putih 70 x 38cm,1,Negative,Sadness,"sangat kecewa, barang rusak.., reseler jualan tdk amanah... klo jualan amanah ya kak biar berkah.."
