Category,Product Name,text_no_stop,Sentiment,Emotion,Customer Rating
Computers and Laptops,Charger Adaptor Laptop Acer Aspire E14 E5-421 E5-431 E5-471 E5-475G,"alhamdulillah barang sudah sampai, bisa dipakai semoga berfungsi baik awet, kurirnya baik smoga rezekinya lancar terus",Positive,Happy,5
Computers and Laptops,Cooling Pad Laptop Gaming 6 Fan Kipas Pendingin Laptop Kipas Cooler Q3,bagus. berjalan baik cukup silent. kokoh muat laptop 16 inch,Positive,Happy,5
Computers and Laptops,Cooling Pad Laptop Gaming 6 Fan Kipas Pendingin Laptop Kipas Cooler Q3,"packing aman, pengiriman cepat barang berfungsi baik",Positive,Happy,5
Computers and Laptops,"kipas laptop cooling pad Ace cooling ergostand 15,6inch 1 fan",produknya baik kualitasny good banget. produk sampai konsumen dalam kondisi baik. sesuai sama harga juga so overall very good ??,Positive,Happy,5
Computers and Laptops,"kipas laptop cooling pad Ace cooling ergostand 15,6inch 1 fan",barang sampai gan berfungsi. terima kasih,Positive,Happy,5
Computers and Laptops,CoolCold Laptop Vacuum Vacum Cooler Cooling Pad Hisap Panas Notebook,barang mantap sesuai deskripsi laptop adem n sejuk,Positive,Happy,5
Computers and Laptops,CoolCold Laptop Vacuum Vacum Cooler Cooling Pad Hisap Panas Notebook,"produk saya terima kondisi baik, terima kasih ^^",Positive,Happy,5
Computers and Laptops,CoolCold Laptop Vacuum Vacum Cooler Cooling Pad Hisap Panas Notebook,"belanja kedua kalinya, selalu puas. pengiriman lumayan cepat. overall bagus banget",Positive,Happy,5
Computers and Laptops,CoolCold Laptop Vacuum Vacum Cooler Cooling Pad Hisap Panas Notebook,"kualitas barang bagus, harga relatif murah, kiriman super cepat, response penjual baik, recommended seller, bintang 5, terima kasih yah, semoga sukses usaha-nya, aamiin ??????.",Positive,Happy,5
Computers and Laptops,Cooling Pad Gaming Ergostand Kipas Pendingin Laptop Big Fan Cooler Pad - KIPAS ERGOSTAND,mantab barang oke punya,Positive,Happy,5
Computers and Laptops,Cooler Master Notepal CMC3 Silent Fan Laptop Cooling Pad,"pengiriman cepat, packing rapi, kualitas mantap",Positive,Happy,5
Computers and Laptops,Cooler Master Notepal CMC3 Silent Fan Laptop Cooling Pad,silent bagus pekerjaan ringan,Positive,Happy,5
Computers and Laptops,Cooler Master Notepal CMC3 Silent Fan Laptop Cooling Pad,barang cepat sampai. kualitas bagus pengiriman aman tidak pecah. manstapu ??????,Positive,Happy,5
Computers and Laptops,Cooler Master Notepal CMC3 Silent Fan Laptop Cooling Pad,"bagus, berkualitas, sesuai gbr. makasih seller, tokped kurir",Positive,Happy,5
Computers and Laptops,"cooling pad laptop tahan 24 jam 6.000 Rpm angin TOPAN - Gambar no 1, Bening","mantap kipasnya kenceng, barangnya berkualitas sesuai sama harga",Positive,Happy,5
Computers and Laptops,"cooling pad laptop tahan 24 jam 6.000 Rpm angin TOPAN - Gambar no 1, Bening",mantap proses pengerjaan pengiriman juga barang sesuai deskripsi,Positive,Happy,5
Computers and Laptops,"cooling pad laptop tahan 24 jam 6.000 Rpm angin TOPAN - Gambar no 1, Bening",penjualnya ramah melayani pembeli sabar memberikan berbagai saran pembeli tidak tahu ... mantap ??????,Positive,Happy,5
Computers and Laptops,"cooling pad laptop tahan 24 jam 6.000 Rpm angin TOPAN - Gambar no 1, Bening","barang sampai cepat, packingnya rapi amat sekali, tidak bagian acrylic pecah. berfungsi baik. semoga awet.",Positive,Happy,5
Computers and Laptops,MacBook Skin Keyboard Protector TRANSPARANT BENING - A2141 A2289,sangat presisi pas,Positive,Happy,5
Computers and Laptops,MacBook Skin Keyboard Protector TRANSPARANT BENING - A2141 A2289,"puas banget, seller helpfull, sangat responsif cepet banget sampai nya, recomended...",Positive,Happy,5
Computers and Laptops,MacBook Skin Keyboard Protector TRANSPARANT BENING - A2141 A2289,"mantappp, responnya juga memuaskan. sudah dicoba dipasang presisi nyaman. cas juga responsif",Positive,Happy,5
Computers and Laptops,"Logitech Bluetooth Keyboard K380 , K 380 , K-380 - Hitam",mantap barangnya cepet sampai enak digunainnya!,Positive,Happy,5
Computers and Laptops,"Logitech Bluetooth Keyboard K380 , K 380 , K-380 - Hitam","barang bagus,oke, cepat pengirimannya juga",Positive,Happy,5
Computers and Laptops,"Logitech Bluetooth Keyboard K380 , K 380 , K-380 - Hitam","pengiriman cepat, seller responsif ??",Positive,Happy,5
Computers and Laptops,Wireless Keyboard i8 Mini TouchPad Mouse 2.4G Handheld PC Android TV,barang berfungsi baik. pemilik toko sangat responsif membantu saat sedikit kendala. sukses tokonya gan ??????,Positive,Happy,5
Computers and Laptops,Wireless Keyboard i8 Mini TouchPad Mouse 2.4G Handheld PC Android TV,"seller luar biasa.. packing baik, pengiriman cepat, penting barang sesuai deskripsi berfungsi. terima kasih..",Positive,Happy,5
Computers and Laptops,Logitech M191 Mouse Wireless Full Size - Mid Grey,sangat kecewa. baru 4 bulan scroll sudah rusak.,Negative,Sadness,1
Computers and Laptops,Adaptor Charger OriginaL Laptop Asus X441 X441U X441UV X441UA X441S,"jelek, yg pasti jauh ori. mousepad jd ga bs dipakai kl charger, jd getar parah. barang ga sesui foto, kayak barang lapak sebelah yg harga 80rban. padahal sebelumnya pernah beli disini bagus,persis spt foto yg indikator ujung charger. makanya order disini lg walaupun sedikit mahal ternyata barangnya tdk sama dgn order sebelumnya",Negative,Sadness,1
Computers and Laptops,Kabel Power Adaptor Charger Laptop 3 Lubang,gak bisa pakai??,Negative,Sadness,1
Computers and Laptops,Cooler Master Notepal CMC3 Silent Fan Laptop Cooling Pad,kecewa parah nggk berkah jualan gitu,Negative,Sadness,1
Computers and Laptops,"CASE MACBOOK Clear Bening AIR PRO RETINA TOUCHBAR 11 12 13 15 INCH - AIR 13 A1466, LOGO HOLE",kecewa penjual ga tanggung jawab komplen berhari� gada solusi,Negative,Sadness,1
Computers and Laptops,"CASE MACBOOK Clear Bening AIR PRO RETINA TOUCHBAR 11 12 13 15 INCH - AIR 13 A1466, LOGO HOLE","pas beli nanya dulu tipe macbook pro 13inch m1 mana variasi nya, kata penjualnya �new pro 13�. pas dateng casing kekecilan salah tipe ternyata. penjual pake banyak alesan gamau tanggung jawab padahal salah yg ngejual. kecewa gamau lagi beli disini ga tanggung jawab.",Negative,Sadness,1
Computers and Laptops,CASE MACBOOK Case MATTE BLACK AIR PRO RETINA TOUCHBAR 11 12 13 15 INCH - NEW AIR A2337M1,barang sampai terlalu lama padahal masih dalam kota. casing mudah lepas. jujur mengecewakan.,Negative,Sadness,1
Computers and Laptops,Screen Guard (Protector) Anti Gores MacBook - A2141,"kecewa belanja tempat kamu, lain pesan lain dikirim ??????",Negative,Sadness,1
Computers and Laptops,Screen Guard (Protector) Anti Gores MacBook - A2141,"tidak tissue pembersih, alat bantuan lainnya memasang. sangat kecewa",Negative,Sadness,1
Computers and Laptops,SanDisk Extreme Pro SDXC UHS-I Card 64GB 170MB/s,"salah beli barang, tp toko tidak kompromi sama sekali. padahal barang masih disegel, kecewa dehhh..",Negative,Sadness,1
Computers and Laptops,SanDisk Extreme SDHC UHS-I Card 32GB,data sering error hilang ??,Negative,Sadness,1
Computers and Laptops,Logitech MK275 Wireless Keyboard Mouse Combo,"kecewa sama toko official ga tau kenapa pesenan pertama ga dikonfirmasi sampe batalin sistem ga direspon sama sekali. pesanan kedua disuruh pesan lagi sama tokonya cuma dikonfirmasi doang ga dikirim sampe tinggal 10 menit sebelum dibatalin sistem lagi tapi untungnya gara chat cs tokopedia akhirnya barang bakalan dikirim didetik terakhir. ga cuma sampe situ payahnya barang baru diambil kurir tanggal 5 pickup barang sama kurir 2 hari, proses kirim pun lemot muter padahal lewat depan rumah baru tanggal 9 jam 9 malem paketnya sampe??",Negative,Sadness,1
Computers and Laptops,Xiaomi Xiaovv Webcam 1080P USB Camera Full HD with Mic Webcast Live,"packing seadanya, bubble hanya selapis saja ditambah lapisan plastik, hasilnya barang diterima dalam keadaan patah.",Negative,Sadness,1
Computers and Laptops,Xiaomi Xiaovv Webcam 1080P USB Camera Full HD with Mic Webcast Live,mic awal ga nyala,Negative,Sadness,1
Computers and Laptops,SanDisk Ultra MicroSD 32GB A1 microSDHC UHS-I micro sd - No Adapter,"kartu sd cuma 29,71 gb, katanya official, tapi malah mksofficial. kecewa, tidak original.",Negative,Sadness,1
Computers and Laptops,SSD 128GB RX7 GARANSI RESMI 3THN,kecepatan tdk sesuai dgn deskripsi,Negative,Sadness,1
Computers and Laptops,Mouse Wireless Komic KM-803 - 1200DPI Nano USB Free Battery - Hijau,tidak berfugsi,Negative,Sadness,1
Computers and Laptops,Mouse Wireless Komic KM-803 - 1200DPI Nano USB Free Battery - Hijau,"mouse bagus , pointer gerak gerak sendiri .",Negative,Sadness,1
Computers and Laptops,Mouse Wireless Komic KM-803 - 1200DPI Nano USB Free Battery - Hijau,infra red jelek suka mental mana2,Negative,Sadness,1
Computers and Laptops,Mouse Wireless Komic KM-803 - 1200DPI Nano USB Free Battery - Hijau,batre tidak sesuai ukuran tidak nano receiver.,Negative,Sadness,1
Computers and Laptops,Mouse Wireless Komic KM-803 - 1200DPI Nano USB Free Battery - Hijau,boros batre,Negative,Sadness,1
Computers and Laptops,HTB-3100 25km single fiber mode transceiver Optical Media Converter,barang error 1,Negative,Sadness,1
Computers and Laptops,Telkomsel Orbit Star 2,"jaringanya ngelek banget lelet mending pake indihome de, nyesel juga beli orbit jaringan parah,",Negative,Sadness,1
Computers and Laptops,Telkomsel Orbit Star 2,tdk sesuai ekspektasi,Negative,Sadness,1
Computers and Laptops,Telkomsel Orbit Star 2,lambat,Negative,Sadness,1
Computers and Laptops,Telkomsel Orbit Star 2,katanya dapat paket 150 gb ternyata setelah regiatrasi cm 300 mb..,Negative,Sadness,1
Computers and Laptops,Telkomsel Orbit Star 2,"tidak bisa register call center team orbin tidak helpful, sekedar minta info gerai orbin buka no telp suruh cari google bukannya tidak mau cari rata2 nomor telp tidak bisa hubungin apa salahnya memberikan info valid menyesal saya beli orbit call center team orbin tidak helpful, sekedar minta info gerai orbin buka no telp suruh cari google bukannya tidak mau cari rata2 nomor telp tidak bisa hubungin apa salahnya memberikan info valid menyesal saya beli orbit",Negative,Sadness,1
Computers and Laptops,Telkomsel Orbit Star 2,tidak sesuai,Negative,Sadness,1
Computers and Laptops,SSD 256GB RX7 SATA,"janji bisa kirim instant segera kita mau pakai segera, nyatanya anda tutup toko baru kirim. paket sampai malam. pas besoknya coba ternyata ssd tidak terbaca. bilangnya kirim toko agarnbisa kirim lagi segera baru. sama2 tangerang ongkos gojek instant 33rb berarti dekat. tidak kirim2 sampaiiii 2 minggu baru kirim. sangat terlihat sengaja sekali lama2in. sangat tidak professional dalam berjualan online , anda jual barang rusak pun tidak etikat ucapan maaf. penutup saya anggap licik pelit sekali ongkir suruh kita tanggung pas barang sampai. kalau lihat begini mah lupakan garansi produk yg bakal ganti baru bila terjadi rusak kemudian hari...",Negative,Sadness,1
Computers and Laptops,SSD 256GB RX7 SATA,"beli 2 ssd, 1 diterima dalam kondisi rusak",Negative,Sadness,1
Computers and Laptops,"Usb HUB Vention 4 Port Usb 3.0 2.0 High Speed Power Adapter OTG - CHL 3.0, 0.15m","tidak berfungsi, tapi yaa sudahlah sudah ditambah daya pakai mikro usb cas hp tetap tidak bisa",Negative,Sadness,1
Computers and Laptops,"Usb HUB Vention 4 Port Usb 3.0 2.0 High Speed Power Adapter OTG - CHL 3.0, 0.15m",bagus... colok hardisk external tdk terdeteksi..,Negative,Sadness,1
Computers and Laptops,Mini Keyboard Wireless i8 2.4G Handheld Keyboard For PC Android TV Box,"produk baik, rusak",Negative,Sadness,1
Computers and Laptops,"Logitech C920 Webcam PRO Full HD 1080p Autofocus, Noise-Cancelling","kualitas ternyata sama merk china lain 1080p juga harga 300rb an, bahkan bagus merk lain 600rb an. lalu pengiriman lambat sekali official store, pesan tgl 27, sampai tgl 1, sehingga saya tdk sempat menggunakan zoom meeting harus memakai hp. cukup kecewa produk pelayanan logitech. kalau utk keyboard mouse emang cukup bagus bbrp model nya, tapi sy kapok beli disini barang akan hanya proses bbrp jam sblm pembatalan walaupun pesan hari biasa.",Negative,Sadness,1
Computers and Laptops,"Logitech C920 Webcam PRO Full HD 1080p Autofocus, Noise-Cancelling","pengiriman 2 hari terlambat. padahal bilang bakal lgsg dikirim. habis order chat lgsg ga respon. utk official store brand segede logitech, sungguh mengecewakan.",Negative,Sadness,1
Computers and Laptops,Rexus Q20 Mouse Wireless Office Silent Click - Hitam,mousenya responsif. jd harus teken agak kuat,Negative,Sadness,1
Computers and Laptops,Rexus Q20 Mouse Wireless Office Silent Click - Hitam,baru pake 2 bulan sensornya jelek suka kemana2,Negative,Sadness,1
Computers and Laptops,Logitech M191 Mouse Wireless Full Size - Mid Grey,sangat kecewa. baru 4 bulan scroll sudah rusak.,Negative,Sadness,1
Computers and Laptops,Logitech M191 Mouse Wireless Full Size - Mid Grey,"belom 1 bulan gak nyala, baterai diganti tetap saja gak nyala. kecewa, 2x kerjain logitech",Negative,Sadness,1
Computers and Laptops,Charger Adaptor MacBook Pro 2008 2009 2010 2011 2012 Magsafe 1 60W ORI,"sangat mengecewakan, barang yg dikirim tidak sesuai konfirmasi, sampai harus bolak-balik 2 kali, saya harus nanggung 6 x ongkos kirim....sangat mengecewakan",Negative,Anger,1
Computers and Laptops,Adaptor Charger Laptop Asus A455LA A455LD A455LB A455 A455L Original,"kualitas chargeran jelek bangettt, baru tiga hari pakai sudah rusakk",Negative,Anger,1
Computers and Laptops,Charger Adaptor Laptop Acer Aspire E14 E5-421 E5-431 E5-471 E5-475G,"pelayanan toko jelek, proses barang lambat, chat tidak menjawab, barang rata-rata",Negative,Anger,1
Computers and Laptops,CoolCold Laptop Vacuum Vacum Cooler Cooling Pad Hisap Panas Notebook,"barang rusak , ga guna sama sekali ... parah",Negative,Anger,1
Computers and Laptops,Logitech MK275 Wireless Keyboard Mouse Combo,"cepet rusak, kadang konek kadang engga",Negative,Anger,3
Computers and Laptops,Logitech G102 Lightsync Gaming Mouse [FS] - Hitam,"barang gajelas lama sampai, kotak penyok�",Negative,Anger,3
Computers and Laptops,SanDisk Ultra MicroSD 32GB A1 microSDHC UHS-I micro sd - No Adapter,"setelah dicek tidak utuh 32gb. kok bisa ya???!!.. kemana sisa 3gb mas/mba???krn lagi butuh, yaudahlah cukup tau beli disini. pertama terakhir beli disini.",Negative,Anger,1
Computers and Laptops,SanDisk Ultra MicroSD 32GB A1 microSDHC UHS-I micro sd - No Adapter,pesanan saya tidak sampai alamat!!! saya mau uang saya kembali!! saya belum menerima pesanan saya,Negative,Anger,1
Computers and Laptops,Thermal Grizzly Kryonaut Thermal Paste 1 Gram cooler ORIGINAL - KEMASAN BARU,beli kemasan baru kirim kemasan lama ! bintang 1 kon%tl,Negative,Anger,1
Computers and Laptops,Thermal Grizzly Kryonaut Thermal Paste 1 Gram cooler ORIGINAL - KEMASAN BARU,"anjing ternyata palsu barang bangsat2 awas ketipu oi, asli segel distributor",Negative,Anger,1
Computers and Laptops,Thermal Grizzly Kryonaut Thermal Paste 1 Gram cooler ORIGINAL - KEMASAN BARU,barang kw jangan beli disini,Negative,Anger,1
Computers and Laptops,Mouse Wireless Komic KM-803 - 1200DPI Nano USB Free Battery - Hijau,buruk,Negative,Anger,1
Computers and Laptops,SanDisk Cruzer Blade 16GB CZ50 Flashdisk,barang bosok! sekali pake rusak.. mau claim dijawab berbelit ama adminnya,Negative,Anger,1
Computers and Laptops,Telkomsel Orbit Star 2,"chat tidak balas, kuota janjikan 50gb tidak masuk, hancur la parah parah",Negative,Anger,1
Computers and Laptops,Xiaomi Mi Wifi Wireless Extender Pro Repeater Amplifier R03 Original,ga dikasih adaptor gepeng nya. ketipu saya,Negative,Anger,1
Computers and Laptops,"Usb HUB Vention 4 Port Usb 3.0 2.0 High Speed Power Adapter OTG - CHL 3.0, 0.15m",jir sehari pake rusak :( quality control dong yg bener ahelah,Negative,Anger,1
Computers and Laptops,SSD 256GB RX7 SATA,"gmn, ssd gak bisa pake.... sy minta ganti...",Negative,Anger,1
Computers and Laptops,"Logitech C920 Webcam PRO Full HD 1080p Autofocus, Noise-Cancelling","beli mahal2, malah sering tiba2 ngeblur kalau dipakai zoom. terus menghubungi cs nya, suruh klaim garansi aja, minta alamat ga dikasih2. hadeuhh, webcam 1 jutaan kualitas sampah.",Negative,Anger,1
Computers and Laptops,Vention High Speed USB 3.0 Hub for Windows Mac Linux - CHK 0.15 Meter,tidak sesuai gambar.... janggan percaya ama seller penipu..... kualitas jelek.....,Negative,Anger,1
Computers and Laptops,Laptop Stand Holder Lipat Adjustable Anti Slip Portable Untuk Laptop,"tolong pengiriman punya rasa tanggung jawab, paket habis berenang comberan mana gak yakin isinya apakah masih bisa pakai masuk bak sampah",Negative,Anger,1
Computers and Laptops,Rexus GX2 Gladius Pro Gaming Gamepad - Joystick / Stick - Hitam,l2 r2 trigger ampas macam ***,Negative,Anger,1
Computers and Laptops,"Samsung MicroSD Evo Plus 32GB 64GB 128GB 256GB 512GB 1TB Memory card - 64 gb, MicroSD Only",jelek,Negative,Anger,1
Computers and Laptops,"SPC Monitor Komputer LED 19 inch HD, Garansi Resmi","barang sampah tidak seharusnya dikirimkan alamat saya, akan tetapi tong sampah. sangat mengecewakan, admin tidak merespon sama sekali chat saya. lihat barang yg dikirimkan, dead pixel, lalu layar monitornya kebalik. sangat mengecewakan. catatan buat teman-teman yg ingin beli, monitor tidak audio/speakernya, kualitas layar juga baik. jika rejeki lebih, belilah merek yg bagus. saya sangat menyesal belanja sini. saya tidak merekomendasikan belanja disini.",Negative,Anger,1
Computers and Laptops,Prolink PRT7011L Portable 4G LTE Modem WiFi Mifi Hotspot - Plus PTC21801,"tidak jujur kelihatan kalau memaksakan barang terjual. barang dikirim tidak sesuai pesanan. akhirnya pembeli disuruh mengirim barang yg tidak solusi barang tidak, resiko barang yg foto/ ditawarkan memang sebenarnya mungkin tidak ada.",Negative,Anger,1
Computers and Laptops,Logitech G304 Lightspeed Mouse Gaming Wireless Sensor 12K DPI - Hitam,"beli tgl 9. pesanan selesai tgl 12 dan....mouse rusak tgl 13 gak bisa komplain toped lagi. admin ditanyain gmna cara klaim garansi sangat tidak membantu, chat hari bales besok.da dibales gk jawab2 lagi",Negative,Anger,1
Computers and Laptops,Digital Aliance Keyboard Gaming Meca Warrior X RGB - Hitam,"gua beli dapetnya v2, desc gada penjelasan mengenai versi, bagusan v1 apalagi rgbnya rgb v2 bener bener cuma red green blue sisa warnanya gaguna switch puller gadapet rgb redup pula ngga pemberitahuan mengenai versi keyboardnya bener2 kecewa kapok beli da ambil ae v*rt*x v7 tuh bagus drpd kecewa mau gua jual lagi pokoknya",Negative,Anger,1
Computers and Laptops,Mouse Gaming/ Gaming Mouse Terlaris HP M160 - USB 1000DPI RGB 3 Button - Putih,"belanja official store, kondisi barang diterima seperti sampah barang rongsokan. terima kasih.",Negative,Anger,1
Computers and Laptops,Rexus Mouse Wireless Gaming Avenger 110 - Perak,ngaco banget pesen mouse tapi gak lengkap. gak penutup batre sama bluetoothnya,Negative,Anger,1
Computers and Laptops,Mouse Gaming HP M150 - 1600DPI USB Wired Macro Programmable - Hitam,barang emang harga aslinya sekitar 55 an tapi seller sok sok an bikin diskon yg 99rb diskon 59rb.olshop emang keras,Negative,Anger,1
Computers and Laptops,RAM KINGSTON HYPERX FURY GAMING DDR3 8GB 1600MHz 12800 RAM PC DDR3 8GB,"salah beli gabisa dituker, pas coba ternyata gabisa pas ditanya klaim garansi gimana bales malah bot. tai",Negative,Anger,1
Computers and Laptops,KUKE KLS-808 Meja Lipat Laptop /Meja laptop lipat/Oxy Folding Table - Hitam,"sangat tidak puas, baik produknya pelayanannya, barang cacat, kondisi tertutup saya, mejanya tidak bisa menutup rapat, dikarenakan pemasangan engselnya tidak sejajar (1 tinggi, 1 pendek, yg menyebabkan listnya sobek, krn dipaksa saat menutup daun mejanya. fix cacat pabrik bukan masalah pengiriman. ternyata komplain ga diterima toko penjual, suruh hubungi sendiri kurirnya.",Negative,Anger,1
Computers and Laptops,KUKE KLS-808 Meja Lipat Laptop /Meja laptop lipat/Oxy Folding Table - Hitam,quality barang jelek. baut lepas terus,Negative,Anger,1
Computers and Laptops,"RB - C78 Meja Laptop Lipat Portable Meja Belajar Anak Multifungsi Anti - POLOS, 03",banyakk rusakk lecet nyaaaa !!!!,Negative,Anger,1
Computers and Laptops,USAMS Memory Card MicroSD CLASS 10 4gb 8gb 16gb 32gb 64gb - 4 gb,"barang pesan 2 dateng 1 bayar harga 2 yg dateng 1 makasih ... ga ush dibuktikan ,cek pengeluaran barang -baru cek pembeli jgn pembeli ditanya2 unboxing ga terlalu penting abis2in quota",Negative,Anger,1
Computers and Laptops,Mini Keyboard Wireless i8 2.4G Handheld Keyboard untuk smart tv TV Box - TANPA BUBBLE,"keyboard tdk nyala sama sekali padahal baterai baru dicoba beberapa kali tdk bisa ,memang murah toko lain ,barang tdk bisa sama saja bohong",Negative,Anger,1
Computers and Laptops,Mini Keyboard Wireless i8 2.4G Handheld Keyboard untuk smart tv TV Box - TANPA BUBBLE,barang rusak kirim,Negative,Anger,1
Computers and Laptops,"AONEZ Meja komputer lipat multifungsi, meja komputer portabel - B","gak bener nih, harusnya dateng tuh meja utuh, malah baut2 gak terpasang, baut2nya kecil banget... mau dilem ?? ngaco ****** !",Negative,Anger,1
Computers and Laptops,Razer Hammerhead Pro V2,driver ngaco bukan tokonya. barang ok. smart namanya bengak. gua kasih puas komen jg lu. bintang satunya buat driver. *****,Negative,Anger,1
Computers and Laptops,Windows 10 Pro Original Lisensi - INVOICE,kecewa lah.gk penyelesaian.di chat kg bls wa kg bls. lari gitu aj sampah.,Negative,Anger,1
Computers and Laptops,"Logitech C920 Webcam PRO Full HD 1080p Autofocus, Noise-Cancelling","barang dikirim salah, pesan webcam logitech logitech official kok bs dikirimmya headphone jbl! penukaran barang butuh 4hari kerja! sungguh lama",Negative,Anger,1
Computers and Laptops,[FS] Logitech MK275 Wireless Keyboard Mouse Combo,bagus banget keyboardnya. packing sangat aman double kardus. warna juga keren.,Positive,Love,5
Computers and Laptops,Samoon Ace USB Cooling pad / Coolpad / Cooler / Kipas Pendingin Laptop,"aaaa bagus banget pengirimannya cepatt aman juga packaging nya, bisa nyala juga tdi udh dicoba,, beli dgn harga rp0 senengggbangett",Positive,Love,5
Computers and Laptops,Charger Adaptor MacBook Pro 2008 2009 2010 2011 2012 Magsafe 1 60W ORI,"terima kasihh boss, mantappss.. smoga lancarr n berkah rezekinya..smngttt boss ??????",Positive,Love,5
Computers and Laptops,"cooling pad laptop tahan 24 jam 6.000 Rpm angin TOPAN - Gambar no 1, Bening",barangnya buwaguusss.... sesuai pesanan.... angin kencang... seperti angin puting beliung.... laptop ademmmm benerrr,Positive,Love,5
Computers and Laptops,Xiaomi Xiaovv Webcam 1080P USB Camera Full HD with Mic Webcast Live,"mantap bgt, kualitas beneran sama kaya webcam sejutaan",Positive,Love,5
Computers and Laptops,Xiaomi Xiaovv Webcam 1080P USB Camera Full HD with Mic Webcast Live,"sampai selamat, mulus berfungsi sempurna. seller mau sabar dikonsultasikan mengemas aman. recommended",Positive,Love,5
Computers and Laptops,Logitech G102 Lightsync Gaming Mouse [FS] - Hitam,"proses pesanan pengiriman barang cukup cepat, produk sesuai deskripsi, seller responsif, sukses tetap jaga protokol kesehatan seller! terima kasih.",Positive,Love,5
Computers and Laptops,SanDisk Ultra MicroSD 32GB A1 microSDHC UHS-I micro sd - No Adapter,"penjual ramah, barangnya bagus, sesuai dgn pesanan, packing rapi, padahal cmn pesan 1 ??????????....",Positive,Love,5
Computers and Laptops,[BARU] RAM / MEMORY SAMSUNG PC DDR3 8GB,"selamat siang bos, pesanan sudah saya terima. belum pasang / coba. packing sangat rapi aman. product mantap. pokoknya top markotop. pelayanan sangat oke. toko sangat recomended sekali. makasih banyak atas semuanya. salam sukses, sehat sejahtera selalu. aamiin",Positive,Love,5
Computers and Laptops,[BARU] RAM / MEMORY SAMSUNG PC DDR3 8GB,recommended seller??????,Positive,Love,5
Computers and Laptops,[BARU] RAM / MEMORY SAMSUNG PC DDR3 8GB,top bgt,Positive,Love,5
Computers and Laptops,[BARU] RAM / MEMORY SAMSUNG PC DDR3 8GB,"asli samsung, pelayanan sangat baik",Positive,Love,5
Computers and Laptops,Thermal Grizzly Kryonaut Thermal Paste 1 Gram cooler ORIGINAL - KEMASAN BARU,mantap laptop jd adem ga cpt panas ????,Positive,Love,5
Computers and Laptops,Thermal Grizzly Kryonaut Thermal Paste 1 Gram cooler ORIGINAL - KEMASAN BARU,"memory sdh sy pasang. 4 keping 8 gb ddr3, semua berfungsi dg baik. pengiriman lumayan cepat. recommended seller. ??",Positive,Love,5
Computers and Laptops,SanDisk Cruzer Blade 16GB CZ50 Flashdisk,"waw murah bangetttt, packingnya rapih, produknya bagus keren mantap. sangat uhuuy pisan deh pokoknya hehehehehe",Positive,Love,5
Computers and Laptops,SanDisk Cruzer Blade 16GB CZ50 Flashdisk,mantab. respon cepat. pesanan tidak mengecewakan. rekomended buat belanja spare part. terima kasih atas kerja samanya,Positive,Love,5
Computers and Laptops,SanDisk Cruzer Blade 16GB CZ50 Flashdisk,"recommended, fast print fast response",Positive,Love,5
