Category,Product Name,text_no_stop,Sentiment,Emotion,Customer Rating
Muslim Fashion,Jilbab Pashmina Plisket Diamond Hijab Pasmina Lipit ORI Murah Kekinian - Army,"noda kuning jilbab nya,pendek,kaku!",Negative,Anger,1
Animal Care,Cupang Hias Halfmoon Male / Betta Fish Halfmoon - Random,"mantap banget, ikan cupang sehat, lincah langsung menyesuaikan air dalam aquarium baru. ekor sirip half moon bgt!",Positive,Love,5
Body Care,Lifebuoy Shampo Anti Ketombe Anti Dandruff Milknutristrong 900Ml,lamaaaaaa bngt kirimnya,Negative,Anger,3
Computers and Laptops,MOUSEPAD GAMING FANTECH FIREFLY MPR800s RGB,mantap banget kualitasnya gak usah diragukan lagi,Positive,Love,5
Health,Masker Evo PlusMed 4d Medis - Putih,"yeay dapet harga diskon, beli 2 box, sampai tepat waktu. terima kasih",Positive,Happy,5
Mother and Baby,"Mamaway Korset Pelangsing Pasca Melahirkan Nano Bamboo - Abu-abu,M",enak bgt pakai setelah caesar. pakai saat duduk jg nyaman tidak bikin sakit. rekomen pokok nya.,Positive,Happy,5
Food and Drink,MALING WOST TTS BRAND 397GR (PORK LUNCHEON MEAT/NON HALAL),pelayanan top bgt.exp lama.stp beli maling slalu toko ini.the best seller,Positive,Happy,5
Party Supplies and Craft,HARGA GROSIR KEMBANG API ROMAN CANDLE 8 SHOTS 0.8' (SATUAN)!!,"admin toko tdk punya sopan santun, bukannya cari solusi msalah, malah emosional hina pembeli. , gk pnya etika gk sekolah x, ,",Negative,Fear,1
Toys and Hobbies,POP IT MURAH RAINBOW UNICORN fidget push Pop Its Fidget Toy Push POPIT - UNICORN RAINBOW,mantaaaaap sesuai �g gambar jujur amanah seler .ngak nyesel belanja toko .pokok mantaaaaap deh,Positive,Love,5
Food and Drink,Keripik tempe 200 gram,hancurrrr. agak keras rasanya sudah lama,Negative,Anger,1
Body Care,dr soap Hand Antiseptic Spray 60ml (Urban Shee),sudah purchase kedua kali cocok kulit tangan yg agak sensitif.,Positive,Love,5
Muslim Fashion,"SALMAN BAJU KOKO MUSLIM PRIA LENGAN PANJANG BAJU KOKO COWOK - Putih, L",bajunya kok gak sesuai dg fotonya. bahkan mereknya gak / digunting,Negative,Fear,1
Movies and Music,Suling YAMAHA YRS-23 Original / Seruling Yamaha,setelah dipakai selama beberapa hari suara menjadi tidak jelas apakah produk ori? saya liat sarung seruling bukan made in indonesia tetapi serulingnya made in indonesia apa yamaha kw?,Negative,Fear,2
Body Care,L'Oreal Professionnel Hairspa Deep Nourishing Shampoo - Rambut Kering,top markotoooopppp,Positive,Love,5
Other Products,Tinta plastisol Brain Plus putih 1kg,"mantep, respon cepat, pengiriman instan. recomended banget",Positive,Love,5
Kitchen,[GROSIR] TIMBANGAN KUE DIGITAL DAPUR 10KG 10 KILOGRAM 1000 GRAM 1000G,packing tdk dikemas asal kirim lgsung pdhal kondisi dusnya sudah rusak. mgkin harga barangnya murah rp.25.000. jd tdk dikemas rapih.,Negative,Fear,3
Animal Care,Spray Penghilang Bau Kencing Kucing Anjing - Aroma Lavender,"barang ok, sesuai pesanan, pengiriman ok",Positive,Happy,5
Books,[ ORIGINAL ] Atlas Anatomi Manusia Edisi 7 - Frank H Netter,"isi buku bagus, saya beli sekalian minta disampul. tetapi halaman-halaman banyak menyatu, harus kita potong cutter pisau secara manual. sebenarnya saya tidak masalah tetapi saran saya sebaiknya seller memeriksa kembali barang sebelum dikirimkan memberitahu apabila kecacatan. kemudian bila konsumen chat setelah barang sampai jangan cuman diread saja. semoga bisa bahan intropeksi membuat tokonya maju",Positive,Happy,3
Beauty,IKAT RAMBUT KOREA TOWEL RING SET ISI 40 PCS - All black,mengecewakan!!!,Negative,Anger,1
Muslim Fashion,Bella Square Hijab Segiempat Part 5,"bagus, admin garcep warna kosong langsung konfirmasibahannya adem. jahitan rapi. warnanya cantik ??.",Positive,Happy,4
Toys and Hobbies,UNO Card,"yg bikin kecewa pesen 6 items yg nyampe cuma satu. masih saya tunggu kekurangan barangnya uno stacko kayu, uno card 2pcs werewolf 2pcs. kalau tidak tolong refund uangnya.",Negative,Sadness,1
Toys and Hobbies,"DOMINO BATU WARNA SPEEDS + BOX KAYU COKLAT TEBAL 1,5 cm LX 047-04",mantaaappp bagus kereeennn??????????,Positive,Love,5
Sport,Golok Patimura Ukir Baja,beli 2 datangnya 1 barang gk sesuai foto ketajaman biasa yg jual goblok selamat makan uang haram,Negative,Anger,1
Household,Payung Kapsul Payung Mini lipat 3 Micro Capsule Umbrella anti UV - Biru,"barang sesuai deskripsi, baguss lucu , bisa dibawa kemana mana, mudah�an awet",Positive,Love,5
Men's Fashion,Emrys Simple Ring Deception Real Titanium Anti Karat Cincin Titanium P - 6,"beli barang tapi barang sendiri tidak pernah datang, sementara status selesai & pengembalian uang belum juga dilakukan sampai saat",Negative,Fear,1
Office & Stationery,Lakban Bening KSATRIA Tape 200 Yard,"riject bener2 kecewa, langganan bukan cuma beli sekali tapi barang ga cek saat mau packing",Negative,Sadness,1
Kids and Baby Fashion,Tas Sekolah Anak SD Laki 3 in 1 Cowok - Fendi series - Hitam,"produk sgt biasa..jauh bgt bedanya sm foto dgn realnya..pknya resleting biasa, bahan kasar.",Negative,Fear,3
Kids and Baby Fashion,"Legging Stripe Anak Perempuan 7 - 13 Th / Leging Strip / Lejing Polos - Hitam, polos","respon lama,proses lama. not recomended!",Negative,Fear,2
Mother and Baby,"MOOIMOM Casual Hipseat Carrier Gendongan Bayi - 3 - 36 Bulan, Abu-abu","kardus rusak, packing jelek",Negative,Anger,2
Other Products,PIPET TETES 13cm,pipetnya tidak dikirim. .,Negative,Fear,1
Food and Drink,Pia Medan Lau Pho Piang Merk Damai,"pia sudah sampai kak, tp pas buka hancur smua. padahal sudah bubble wrap",Negative,Sadness,2
Mother and Baby,"merries S , M , L , XL - L38",kenapa pesananya ndk sesuai ukuran yg pesan... klo stok kosong ubah..,Negative,Anger,1
Carpentry,Semprotan Air,beda sekali kwalitas dgn penampilan foto.,Negative,Fear,1
Party Supplies and Craft,"PAPER TRAY TATAKAN MAKAN KERTAS / PIRING KERTAS UNTUK RESTORAN CAFE - Cokelat, 12x12 cm",produk sangat baik pengemasan rapi,Positive,Happy,5
Phones and Tablets,Kabel Data Iphone Original Ori Cable Data Ip 6 6plus 7 7plus 8 8plus,pengiriman cepat. kabel sesuai plus dikasih bonus pelindung kabel. top ??,Positive,Happy,5
Women's Fashion,Celana pendek wanita rayon polos adem variasi warna - WARNA 11,tidak sesuai foto,Negative,Sadness,3
Movies and Music,Selang Pianika Yamaha,barang berfungsi baik semoga awet,Positive,Happy,4
Food and Drink,Kripik Usus Ayam 1kg Super,"rasanya gak spt biasanya. pembelian yg 3 asin kebangetan !!! gitu packingannya cuma dibuble wrap, tdk diberi dos spt biasanya, sehingga kripiknya banyak yg hancur !!",Negative,Anger,1
Animal Care,Promo: BOLT makanan kucing kering rasa Tuna REPACK,barang sesuai pesanan paking standar bagus pengiriman cepat sampai tks gan,Positive,Happy,5
Electronics,EMOJI ALARM CLOCK - Jam Weker Alarm Digital Lampu Tidur Unik Anak - Putih,"barang sesuai deskripsi, recommended high quality product. seller: packaging ok",Positive,Love,5
Other Products,[PAKET HEMAT] Tag Gun - Alat Tembak Pasang Label + REFILL 5000 Pcs (W) - 35mm,"barang gampang rusak,jarumnya lepas terlempar",Negative,Fear,1
Animal Care,Obat Kutu Hewan Anjing & Kucing Bahan Alami RACOON / Flea Remover,"stelah pemakaian rutin, kutu anjing makin banyak. spot spray malah makin banyak, padahal awalnya kutunya sedikit doang, nyesal produk ini.",Negative,Fear,1
Food and Drink,Roasted Bean Premium Robusta Natural Tuang Coffee 1kg - Biji Kopi,order yg k2 ko sy sangat kecewa...bungkus sudah pecah kopi berhamburan k mna� gak tau kesalahan dr selese seler kurir.,Negative,Sadness,1
Party Supplies and Craft,box clover segi 4 / kotak kado hadiah gift makanan cd bingkisan,"bagus kotaknya, harga murah.. pengiriman cepet...",Positive,Happy,5
Books,Buku The Intelligent Investor (Edisi Revisi) . Benjamin Graham HC,"penyok, packingnya juga aman",Negative,Anger,3
Beauty,L'Oreal Paris Revitalift Crystal Purifying Micellar Water Oil Free - 400 ml,packing kardusnyasperti udh buka.. gk rapih..,Negative,Sadness,1
Books,Your Name - Shinkai Makoto - Haru,"kecewa banget, barang lecet noda sampul depan belakang, pengiriman lama banget pake kurir antaraja hih. buat adminnya kalo barang jelek gini jangan dikirim, malas mo baca bukunya",Negative,Sadness,2
Other Products,Liquid A La Carte Cream Poundcake 100ML Liquid Ala Carte Alacar - 3MG,langganan ??????????,Positive,Love,5
Office & Stationery,"Notebook #Binding/ Custom/ Planner Dotted/ Grid/ Journal/ Agenda - garis, Hitam","salah kirim produk, admin lama banget balesnya. proses retur gak jelas",Negative,Fear,1
Gaming,"Ps2 fat Hdd external murah Playstation Ps 2 fat Sony - Hardisk 20GB, TANPA MEMORY","saat unboxing barang terlihat bagus tpi pas baru cek seksama sticknya hancur bautnya hilang padahal packingan menggunakan kayu tidak penyok + ps baru coba banyak game yg tidak mau serta dalam waktu 5 mnt ps langsung mati sendiri saat saya coba cek masalahnya ternyata kipas ps tidak menyala, saat saya tanya penjual ternyata ps hanya cek sekedarnya saja setelah saya komplain saya disuruh mengembalikan ksana cek ongkir pp saya tanggung sendiri, sangat miris saya sangat percaya toko meskipun ulasan yg buruk tpi saya tetap percaya tenyata barang yg datang sangat tdk memuaskan",Negative,Fear,1
Computers and Laptops,Thermal Grizzly Kryonaut Thermal Paste 1 Gram cooler ORIGINAL - KEMASAN BARU,"anjing ternyata palsu barang bangsat2 awas ketipu oi, asli segel distributor",Negative,Anger,1
Kids and Baby Fashion,"Legging Stripe Anak Perempuan 7 - 13 Th / Leging Strip / Lejing Polos - Hitam, polos","barang tidak sesuai foto, leggingnya jg yg sobek",Negative,Fear,3
Food and Drink,FUKUMI BERAS PORANG BOX SACHET,"baru kali masak nasi porang tanpa berasa karet, praktis pula cuma diseduh air panas. mantaabbb",Positive,Love,5
Beauty,Madame Gie Nailmoji Nude Series (Satuan) - Shimashima,1 shade yg salah kirim,Negative,Sadness,4
Computers and Laptops,HTB-3100 25km single fiber mode transceiver Optical Media Converter,barang error 1,Negative,Sadness,1
Office & Stationery,Tipex Correction Tape CF-235 Joyko,"beli banyak macam barang, tapi produk tidak dikirimkan",Negative,Fear,1
Office & Stationery,Deli Notebook A5 72 Lembar dengan pinggiran plastik T3272 - alpaca,barang tidak sesuai jumlah pesanan,Negative,Fear,1
Household,Triple W Smart LED Digital Alarm Clock Jam Meja Weker Lampu Tidur - Hitam,"wekernya bagus, gampang settingnya ( baca petunjuk jangan males ) rgb lightingnya juga masuk body warna hitamnya, barangnya irit space, paling penting angka led gampang kebaca ( waktu terang )",Positive,Happy,5
Kitchen,Maxim Tools Egg Separator/Pemisah Kuning Putih Telur,"barang dikirimkan tidak sesuai orderan saya, ditanya pihak maxim tidak balasan sama sekali hanya dibaca saja. pihak tokopedia pun sudah dikomplain malah transaksinya selesai dananya diteruska maxim. lalu barang saya bagaimana? tokopedia bilang dichat saja. pintar sekali jawabannya. sudah saya komplain kalo penjual tidak merespon. bobrok sekali sistemnya.",Negative,Fear,1
Other Products,PACKING DUS + BUBBLE - TAMBAHAN DUS + BUBBLE,jelek sekali packingnya...hand body saya tumpah...,Negative,Anger,1
Camera,"lensa jepit / cliplens camera 3in1 ( fish eye , wide , macro ) untuk semua kamera hp bb , iphone , samsung , dll",pengiriman cepat...tp teliti saat dikirim...macro lensnya tidak ada..saya cuma dapet fish eye sama wide angle... :( padahal macro lens yg saya mau..mohon dicek dulu seblm dikirim..agak kecewa..,Negative,Sadness,2
Men's Fashion,kacamata anti radiasi dewasa fashion pria dan wanita terbaru 98029 - Black,"seller ramah, pengiriman cepat. gak nyangka ternyata paketnya bagus banget kacamatanya memang sangat berguna buat orang sering pakai hp.????",Positive,Happy,5
Men's Fashion,Techdoo Kaos Kaki Ankle All Size 35-45 Kaoskaki Pendek KK01 - Putih,kaget pas dateng ternyata bahannya bagus kualitasnya bagus padahal harganya murah wk,Positive,Happy,5
Phones and Tablets,Kabel Data Iphone Original Ori Cable Data Ip 6 6plus 7 7plus 8 8plus,"respond pengiriman cepat, barang ok",Positive,Happy,5
Muslim Fashion,HIJAB VOAL |VOAL ULTRAFINE | LUNA VOAL YOUTHSCARF (basic colour) - LV-DENIM,gk plat besinya...cm label merk bahan,Negative,Fear,2
Property,cover body mobil Ertiga xenia avanza,sudah diterima sesuai. baguussssss,Positive,Love,5
Toys and Hobbies,"DOMINO BATU WARNA SPEEDS + BOX KAYU COKLAT TEBAL 1,5 cm LX 047-04","sangat kecewa, tidak seperti dulu. pakcing sangat buruk. box kayu hancur. beli 20 bh jual lagi. gak bagus. retur kena biaya lagi. terpaksa kami jual tanpa box kayu.",Negative,Sadness,1
Women's Fashion,Tanktop Singlet Dalaman Wanita Gaya Korea - Jfashion Naraya,bahannya adem. enak dipakai ?. modelnya kekinian ??. jahitannya rapi. bahan menyerap keringat. tidak menerawang.,Positive,Happy,5
Women's Fashion,jam tangan wanita BIDEN mode bisnis 3ATM Tahan Air wanita Mewah Kasual - Putih,"barang tidak sesuai gambar,mengecewakan",Negative,Sadness,1
Other Products,BUBBLE PACK (PACKING TAMBAHAN),sangat kecewa pesen 2 dkirim 1 huuuuuufffttt,Negative,Sadness,1
Toys and Hobbies,Kuy Cartridge Original - V1,hati hati guys gua beli tiga terus satu bener bener gabisa dipake. sengaja ngasih bintang satu lagian gua chat abangnya ga respon,Negative,Fear,1
Phones and Tablets,Samsung Galaxy A12 4/128 GB Garansi Resmi SEIN - Hitam,barangnya original ??. warna sesuai pesanan. suara jernih. penjualnya ramah banget. packaging aman ??. respon penjualnya top.,Positive,Happy,5
Kids and Baby Fashion,BAJU SETELAN ANAK LAKI-LAKI ASTRONOT UK 1-10 TAHUN - 3 TAHUN,begitu cuci sablonan lepas,Negative,Sadness,2
Toys and Hobbies,Nezuko Kimetsu No Yaiba Nude Version Action Figure,cantik banget,Positive,Love,5
Carpentry,Semprotan Air,"brg dtg ga sesuai pict, ga bs d pake, rusak pengaturan aliran air nya, itung2amal aza, hrg flashsale ongkir 15k",Negative,Fear,1
Women's Fashion,CD01 Celana Dalam CD Wanita Seemless 3D Japanese Style Honeycomb - grey,ukurannya sesuai. bahannya adem. produk sesuai foto.,Positive,Happy,5
Toys and Hobbies,Paket UNO STACKO + KARTU UNO + 2 DADU - paket 3 in 1,"seller respon, kecewa",Negative,Sadness,1
Sport,ALAT BANTU SIT UP/PENAHAN KAKI SIT UP/SIT UP STAND/HOME FITNESS - Hitam,hati2 yng beli alat ini. saya baru pake 2 kali besiny copot base nya. seller tidak memberikan solusi padahal saya meminta replacement bukan refund. saya sarankan membeli merek lain dripda membeli brang defect toko ini.,Negative,Fear,1
Mother and Baby,"MOOIMOM Casual Hipseat Carrier Gendongan Bayi - 3 - 36 Bulan, Abu-abu",bahannya nyaman ??. nyaman punggung. beban tersebar merata. desain ergonomis. gampang dipakai. penjualnya ramah banget. bahannya fleksibel.,Positive,Happy,5
Kids and Baby Fashion,Kaos Kaki Sekolah SD / Kaos Kaki Anak anak - Hitam Polos,tidak sesuai apa dibayangkan,Negative,Fear,1
Sport,"Atalon Running Pants - Celana Pendek Ringan Lari Jogging Marathon - Hitam, M","barang cakep, bahan adem, kantong juga lega plus resleting, pengiriman cepat, terbaik",Positive,Happy,5
Office & Stationery,Deli Business Notebook Leather Cover 25K Buku Catatan Bahan Kulit 7911 - 25K 120 LEMBAR,"pelayanan sangat buruk, no debat!",Negative,Anger,1
Household,Set Sapu Pengki Sekop Sampah Lipat Kombinasi Sapum Broom Set D63 - Putih D65,"sory harus kasih bintang 2, krna pengiriman salah sampai 2 kali kirim, sebaiknya diperhatikan lagi bagian pengirimannya",Negative,Sadness,2
Kitchen,GM Bear Set Pisau Dapur isi 5pcs Hitam 1083-Pisau Set 5 Pcs,"pesanan tidak sesuai, barang dipesan adalah merk gm bear warna putih, tapi dikirim merk buck warna hitam, saya sangat kecewa",Negative,Sadness,1
Animal Care,Makanan kucing - Bolt Repack 1kg - Bolt Ikan,"moon maaf gan, tadi paketnya sy buka ternyata 1 bungkus seperti sudah buka silet/cutter krn sobekannya rapih ujung ujung bungkusnya posisikan terbalik ketika buka berantakan semua isinya. saya pesan 3 kg (3 bungkus) yg rusak 1 kg (1 bungkus). saya sudah sering pesan sudah 2 kali kejadian seperti ini. tp kejadian yg sekarang yg paling parah maaf tidak bisa saya toleransi krn menurut saya sudah kelewatan. saya selalu kasih bintang 5 setiap selesai transaksi namun yg skrng mohon maaf, saya kasih bintang 1 supaya perbaikan kemudian hari.",Negative,Fear,1
Party Supplies and Craft,Bubble Wrap Packing Tambahan,"ga guna, sebelum dilapis hrusnya dilapis kardus minimal.",Negative,Anger,2
Camera,Kids camera Kamera Mini anak / camera anak / camera kids X2 - Merah Muda,"kameranya berfungsi, kualitas gambar tentunya sesuai harga ya, seperti kamera anak sejenis. sayangnya kabelnya kotor sekali, seperti bekas, sudah coba dibersihkan juga tidak bisa.",Positive,Happy,4
Toys and Hobbies,Kereta Thomas Mainan Thomas,buruk,Negative,Anger,1
Books,Gravity Falls: Journal 3,"penjual sangat tidak responsif, pengiriman sangat lama, pengen cancel awalnya namun sudah sangat menginginkannya sudahlah.",Negative,Fear,1
Office & Stationery,Ball Pen Pulpen Pena Joyko BP-273 Zeto 0.7 mm 1 Box 12 Pcs,"paket sudah sampai selamat, pertahankan kualitas pelayanan harganya.. thanks seller tokped ..",Positive,Happy,5
Food and Drink,KERUPUK MAWAR PUTIH KHAS PALEMBANG 250 grm,alhamdulillah seperti biasa repeat order sini free ongkir rasa enak harga murah pastinya gurih mantap krupuknya,Positive,Love,5
Books,Buku The Intelligent Investor (Edisi Revisi) . Benjamin Graham HC,pengiriman lama,Negative,Anger,1
Body Care,dr soap Hand Antiseptic Spray 60ml (Urban Shee),hand sanitizernya oke banget. wanginya enak & bikin tangan halus abis dipakai. semoga pas kulitku lagi sensitif ga bikin sakit ??,Positive,Love,5
Mother and Baby,MOOIMOM Breathable Hipseat Carrier Gendongan Bayi - Navy Blue,"berat barang deskripsi 4,5kg. padahal berat asli barang kurir saat diterima cuma 1kg. ongkir sangat mahal kenyataan harus mengajukan komplain dll bisa dapat refund ongkir. merepotkan.",Negative,Anger,1
Mother and Baby,"MOOIMOM Casual Hipseat Carrier Gendongan Bayi - 3 - 36 Bulan, Abu-abu","seller tidak responsive, pesan pengajuan pembatalan selisih 2 menit, malah ditolak pengajuannya. padahal chat pengen ganti tipe barang sama alamat pengiriman tapi gak diwaro. payah",Negative,Anger,1
Carpentry,"Sepatu Safety Kings Kulit asli 100% - 102, 37","sepatu hancurrrr,..........................",Negative,Anger,1
Household,Payung Kapsul Payung Mini lipat 3 Micro Capsule Umbrella anti UV - Biru,tidak outer box & fastener. padahal sudah note dipastikan ke-5 komponen lengkap. barang sudah banyak goresan & segel kertas sobek. padahal rencana mau pesen banyak buat souvenir.,Negative,Sadness,2
Carpentry,"Sepatu Safety Kings Kulit asli 100% - 102, 37",bahan tidak kulit. tidak sesuai iklan.,Negative,Anger,1
Party Supplies and Craft,Gantungan kait lengket transparan mudah dipasang kamar mandi dapur,jelekkkk,Negative,Anger,2
Mother and Baby,Transpulmin Baby Balsam - 20gr,"thankyou, sesuai pesanan, pengemasan jg cepat...",Positive,Happy,5
