Category,Product Name,Location,Price,Overall Rating,Number Sold,Total Review,Customer Rating,Customer Review,Sentiment,Emotion,text_len,text_norm,text_no_stop
Food and Drink,Artisan Bagel 4pcs - Mix of 4,Jakarta Barat,41000,4.8,2520,1134,1,Roti keras gak enak,Negative,Anger,4,roti keras gak enak,roti keras gak enak
Food and Drink,Pie Susu Dhian Bali,Jakarta Barat,30000,4.9,16800,3453,1,"Beli 2 kotak isi total 20 buah pie terdapat 5 buah pie yang sudah jamuran. Padahal paket langsung dibuka sesaat setelah diantar kurir dan expire date juga masih 1 bulan lebih. Coba cek ulasan, banyak pembeli juga mengalami kendala pie berjamur. Jelek sekali kontrol kualitas pie susu ini. Kasian reputasi toko ini ikutan rusak gara-gara produk yang tidak dijaga reputasinya oleh pemilik produk. Maaf ya kaka penjual, ini ulasan jujur. Mungkin bisa disampaikan kepada produsen produk agar memperbaiki kontrol kualitas produknya.",Negative,Fear,81,"beli 2 kotak isi total 20 buah pie terdapat 5 buah pie yang sudah jamuran. padahal paket langsung dibuka sesaat setelah diantar kurir dan expire date juga masih 1 bulan lebih. coba cek ulasan, banyak pembeli juga mengalami kendala pie berjamur. jelek sekali kontrol kualitas pie susu ini. kasian reputasi toko ini ikutan rusak gara-gara produk yang tidak dijaga reputasinya oleh pemilik produk. maaf ya kaka penjual, ini ulasan jujur. mungkin bisa disampaikan kepada produsen produk agar memperbaiki kontrol kualitas produknya.","beli 2 kotak isi total 20 buah pie terdapat 5 buah pie sudah jamuran. padahal paket langsung dibuka sesaat setelah diantar kurir expire date juga masih 1 bulan lebih. coba cek ulasan, banyak pembeli juga mengalami kendala pie berjamur. jelek sekali kontrol kualitas pie susu ini. kasian reputasi toko ikutan rusak gara-gara produk tidak dijaga reputasinya pemilik produk. maaf kaka penjual, ulasan jujur. mungkin bisa disampaikan kepada produsen produk agar memperbaiki kontrol kualitas produknya."
Other Products,SNEAKERS DEPT ADDITIONAL DOUBLE BOX,Jakarta Timur,10000,4.8,6855,4143,1,"saya udah pesen, tp gak ada :( ini emg kesalahan saya pas mesen atau gimana?? udah bayar box tp gak ada box kan sedih...boleh diulas bosku",Negative,Sadness,26,"saya udah pesen, tp gak ada :( ini emg kesalahan saya pas mesen atau gimana?? udah bayar box tp gak ada box kan sedih...boleh diulas bosku","saya pesen, tp gak :( emg kesalahan saya pas mesen gimana?? bayar box tp gak box sedih...boleh diulas bosku"
Mother and Baby,Mama's Choice Active-wear Maternity Legging - Legging Hamil Mama's Cho - Hitam + pengait,Jakarta Timur,189000,4.9,5014,2102,1,"aduh parah deh kualitasnya . respons konfirmasi order sampe 2 hari , paa barang datang baru jg dipakai 2 jam masa bolong pas bagian miss V nya ..ckckckc kecewa banget!!! trus bahannya jg nerawang alias tipis dan pengait bagian perutnya jg gmpang lepas ..hadeuh kapok beli produk mamas choice deh",Negative,Anger,50,"aduh parah deh kualitasnya . respons konfirmasi order sampe 2 hari , paa barang datang baru jg dipakai 2 jam masa bolong pas bagian miss v nya ..ckckckc kecewa banget!!! trus bahannya jg nerawang alias tipis dan pengait bagian perutnya jg gmpang lepas ..hadeuh kapok beli produk mamas choice deh","aduh parah deh kualitasnya . respons konfirmasi order sampe 2 hari , paa barang datang baru jg dipakai 2 jam masa bolong pas bagian miss v ..ckckckc kecewa banget!!! trus bahannya jg nerawang alias tipis pengait bagian perutnya jg gmpang lepas ..hadeuh kapok beli produk mamas choice deh"
Phones and Tablets,Samsung Galaxy A12 4/128 GB Garansi Resmi SEIN - Hitam,Jakarta Pusat,2114000,4.9,17400,4629,5,Barangnya original ??. Warna sesuai pesanan. Suara jernih. Penjualnya ramah banget. Packaging aman ??. Respon penjualnya top.,Positive,Happy,17,barangnya original ??. warna sesuai pesanan. suara jernih. penjualnya ramah banget. packaging aman ??. respon penjualnya top.,barangnya original ??. warna sesuai pesanan. suara jernih. penjualnya ramah banget. packaging aman ??. respon penjualnya top.
Gaming,Minecraft Windows 10 Edition PC Original - 62e2 - DVD-DL,Jakarta Selatan,89000,5.0,649,384,5,"Akhirnya bisa main MC online bareng temen, sellernya benar-benar baik ngasih panduannya jelas banget. mantab pokoknya",Positive,Love,16,"akhirnya bisa main mc online bareng temen, sellernya benar-benar baik ngasih panduannya jelas banget. mantab pokoknya","akhirnya bisa main mc online bareng temen, sellernya benar-benar baik ngasih panduannya jelas banget. mantab pokoknya"
Mother and Baby,Kodomo Baby Tisu Basah Anti Bacterial 50 sheets,Jakarta Selatan,37400,5.0,5309,1636,2,layanan pengiriman kurang memuaskan..kardus dlm keadaan penyok. untung bagian dalam tidak pecah..secara saya order product cair.,Negative,Sadness,16,layanan pengiriman kurang memuaskan..kardus dlm keadaan penyok. untung bagian dalam tidak pecah..secara saya order product cair.,layanan pengiriman memuaskan..kardus dlm keadaan penyok. untung bagian dalam tidak pecah..secara saya order product cair.
Tour and Travel,DUFAN (Dunia Fantasi) - REGULER WDAY,Kota Tangerang Selatan,255000,5.0,322,82,5,sukaaa bangett kakanya ramahh bgt dan responsif jugaaaa!!!! thank uuu,Positive,Love,10,sukaaa bangett kakanya ramahh bgt dan responsif jugaaaa!!!! thank uuu,sukaaa bangett kakanya ramahh bgt responsif jugaaaa!!!! thank uuu
Food and Drink,Abon sapi MESRAN manis 250gr Oleh tradisional khas SOLO enak gurih - manis,Kota Surakarta,79499,5.0,6258,2026,1,"Beli abon 2 srundeng 2 tapi salah dikasih srundeng semua 4 jd ga jadi dpt abon krn klo retur hrs ngirim brg yg salah, ribet..",Negative,Anger,25,"beli abon 2 srundeng 2 tapi salah dikasih srundeng semua 4 jd ga jadi dpt abon krn klo retur hrs ngirim brg yg salah, ribet..","beli abon 2 srundeng 2 tapi salah dikasih srundeng semua 4 jd ga dpt abon krn klo retur hrs ngirim brg yg salah, ribet.."
Kids and Baby Fashion,Tas Sekolah Anak SD Laki 3 in 1 Cowok - Fendi series - Hitam,Kab. Bandung,50000,4.8,2416,650,1,Barang tidak sesuai gambar,Negative,Fear,4,barang tidak sesuai gambar,barang tidak sesuai gambar
Sport,MINISO Matras Yoga Pola Garis Tubuh 5mm Matras Yoga Kebugaran Rumah - Abu-abu,Jakarta Timur,219000,4.9,3380,1903,1,pengiriman lama sekali,Negative,Anger,3,pengiriman lama sekali,pengiriman lama sekali
Computers and Laptops,SanDisk Cruzer Blade 16GB CZ50 Flashdisk,Jakarta Pusat,82500,4.9,35900,6630,5,"waw murah bangetttt, packingnya rapih, produknya bagus keren mantap. sangat uhuuy pisan deh pokoknya hehehehehe",Positive,Love,15,"waw murah bangetttt, packingnya rapih, produknya bagus keren mantap. sangat uhuuy pisan deh pokoknya hehehehehe","waw murah bangetttt, packingnya rapih, produknya bagus keren mantap. sangat uhuuy pisan deh pokoknya hehehehehe"
Tour and Travel,Pullman Ciawi Vimala Hills Resort and Spa Hotel,Jakarta Utara,1270000,5.0,121,46,5,"Highly Recommend Seller, sangat ramah dan komunikatif dalam memberikan konsultasi serta sabar dalam menjelaskan detail pertanyaan. Proses ordering hingga terbit Vouchernya sangat cepat. Good Job ????????",Positive,Love,26,"highly recommend seller, sangat ramah dan komunikatif dalam memberikan konsultasi serta sabar dalam menjelaskan detail pertanyaan. proses ordering hingga terbit vouchernya sangat cepat. good job ????????","highly recommend seller, sangat ramah komunikatif dalam memberikan konsultasi serta sabar dalam menjelaskan detail pertanyaan. proses ordering hingga terbit vouchernya sangat cepat. good job ????????"
Household,Plastik Buble Wrap - BUBBLEWRAP,Jakarta Utara,2500,4.8,2872,949,3,sedikit masukan klw utk buble warp agar bagian dalam juga di bungkus jika ada pemesanan brg yg dibungkus bersamaan dgn lampun yg mudah pecah. terima kasih????,Negative,Fear,26,sedikit masukan klw utk buble warp agar bagian dalam juga di bungkus jika ada pemesanan brg yg dibungkus bersamaan dgn lampun yg mudah pecah. terima kasih????,sedikit masukan klw utk buble warp agar bagian dalam juga bungkus jika pemesanan brg yg dibungkus bersamaan dgn lampun yg mudah pecah. terima kasih????
Automotive,Orios LED H6/M5 DC 6000K Lampu Motor,Jakarta Pusat,16200,4.8,1400,399,1,"nyesel beli , kagak terang",Negative,Fear,5,"nyesel beli , kagak terang","nyesel beli , kagak terang"
Office & Stationery,"Notebook #Binding/ Custom/ Planner Dotted/ Grid/ Journal/ Agenda - garis, Hitam",Kota Tangerang Selatan,85000,4.9,3294,1136,1,"Pengiriman lama, barang nya cacat tolong diperbaiki layanan nya !",Negative,Anger,10,"pengiriman lama, barang nya cacat tolong diperbaiki layanan nya !","pengiriman lama, barang cacat tolong diperbaiki layanan !"
Kids and Baby Fashion,BAJU SETELAN ANAK LAKI-LAKI ASTRONOT UK 1-10 TAHUN - 3 TAHUN,Jakarta Utara,29900,4.7,2095,1097,2,bahannya tipis bgt. dipake panas sablonan juga jelek.,Negative,Anger,8,bahannya tipis bgt. dipake panas sablonan juga jelek.,bahannya tipis bgt. dipake panas sablonan juga jelek.
Toys and Hobbies,Kereta Thomas Mainan Thomas,Kota Tangerang,59000,4.7,37200,11900,1,"merek kereta nya beda banget sama di gambar yg dijual. merek yg dijual keluaran china. dan bukan merek thomas train set, tapi thamos train set. rel kretanya juga gk bisa rata stabil. kalo nyari kualitas mending cari yang lain. saya aja ketipu sebenrnya. gk liat review dulu. mgkn kalo penjualnya ngasih barang yg sesuai gambar saya bakal puas.",Negative,Fear,58,"merek kereta nya beda banget sama di gambar yg dijual. merek yg dijual keluaran china. dan bukan merek thomas train set, tapi thamos train set. rel kretanya juga gk bisa rata stabil. kalo nyari kualitas mending cari yang lain. saya aja ketipu sebenrnya. gk liat review dulu. mgkn kalo penjualnya ngasih barang yg sesuai gambar saya bakal puas.","merek kereta beda banget sama gambar yg dijual. merek yg dijual keluaran china. bukan merek thomas train set, tapi thamos train set. rel kretanya juga gk bisa rata stabil. kalo nyari kualitas mending cari lain. saya ketipu sebenrnya. gk liat review dulu. mgkn kalo penjualnya ngasih barang yg sesuai gambar saya bakal puas."
Mother and Baby,Gendongan Bayi Depan Hipseat / Baby Carrier / Hipseat Bayi Tuturu - Hitam,Jakarta Barat,133147,4.8,3938,1821,1,Barang tidak ok,Negative,Sadness,3,barang tidak ok,barang tidak ok
Body Care,Lux Hand Sanitizer Jasmine 50ml,Kab. Tangerang,29100,4.9,143400,5572,1,"parah banget sih responnya, komplain barang kurang, disuruh via wa, sudah wa disuruh lagi lewat marketplace, ampun dah, sejelek ini pelayanan sekelas OFFICIAL UNILEVER",Negative,Anger,24,"parah banget sih responnya, komplain barang kurang, disuruh via wa, sudah wa disuruh lagi lewat marketplace, ampun dah, sejelek ini pelayanan sekelas official unilever","parah banget responnya, komplain barang kurang, disuruh via wa, sudah wa disuruh lagi lewat marketplace, ampun dah, sejelek pelayanan sekelas official unilever"
Mother and Baby,Merries Pants Positive Skin L 35,Kota Bekasi,50800,5.0,5700,1696,5,Barang udah sampai dan diterima sesuai pesanan.. top markotop gan.. mantap lah pkk nya gan.. thx u gan.. ????,Positive,Happy,19,barang udah sampai dan diterima sesuai pesanan.. top markotop gan.. mantap lah pkk nya gan.. thx u gan.. ????,barang sampai diterima sesuai pesanan.. top markotop gan.. mantap pkk gan.. thx u gan.. ????
Beauty,Madame Gie Silhouette Eyeliner Small (48 Jam) - Lime Green,Jakarta Barat,15000,4.8,5289,3346,1,"kalo mau kirim baca note nya dong,...masa tiga2 nya dikirim warna sama,..trus fungsinya catatan buat apa",Negative,Anger,16,"kalo mau kirim baca note nya dong,...masa tiga2 nya dikirim warna sama,..trus fungsinya catatan buat apa","kalo mau kirim baca note dong,...masa tiga2 dikirim warna sama,..trus fungsinya catatan buat apa"
Gaming,PS4 Naruto Shippuden Ultimate Ninja STORM 4 : Road to Boruto Reg 3 - Reg All USA,Jakarta Utara,275000,5.0,809,506,5,"kelengkapan sesuai. Game nya seru!. gaming terbaik.. Untuk kesekian kalinya beli dsni yang tentu aj selalu Memuaskan, Memuaskan dan Memuaskan... Intinya Seller : Responsif (Seller yang Ramah, Komunikatif bgt dah), Packing jg rapi bgt (Proteksi Untuk Pengiriman Sangat Terjaga), Barang yang Sesuai (Original Dong Pastinya), Proses Pengiriman yang Cepat, Terus Dapet lagi bonus Tumbler nya Luar Biasa Sekali, Thanks yh gan... Buat Lo Pada yang mau beli dsni, langsung aj, gk ush ragu2, sangat Recomended sekali, tidak akan Mengecewakan... Perfect, Mantap, Top Markotop, The Best Of The Best... Sekali lagi Thanks yh gan, Sukses Selalu dah ????????????????????????????",Positive,Love,97,"kelengkapan sesuai. game nya seru!. gaming terbaik.. untuk kesekian kalinya beli dsni yang tentu aj selalu memuaskan, memuaskan dan memuaskan... intinya seller : responsif (seller yang ramah, komunikatif bgt dah), packing jg rapi bgt (proteksi untuk pengiriman sangat terjaga), barang yang sesuai (original dong pastinya), proses pengiriman yang cepat, terus dapet lagi bonus tumbler nya luar biasa sekali, thanks yh gan... buat lo pada yang mau beli dsni, langsung aj, gk ush ragu2, sangat recomended sekali, tidak akan mengecewakan... perfect, mantap, top markotop, the best of the best... sekali lagi thanks yh gan, sukses selalu dah ????????????????????????????","kelengkapan sesuai. game seru!. gaming terbaik.. kesekian kalinya beli dsni tentu aj selalu memuaskan, memuaskan memuaskan... intinya seller : responsif (seller ramah, komunikatif bgt dah), packing jg rapi bgt (proteksi pengiriman sangat terjaga), barang sesuai (original dong pastinya), proses pengiriman cepat, terus dapet lagi bonus tumbler luar biasa sekali, thanks yh gan... buat lo mau beli dsni, langsung aj, gk ush ragu2, sangat recomended sekali, tidak akan mengecewakan... perfect, mantap, top markotop, the best of the best... sekali lagi thanks yh gan, sukses selalu dah ????????????????????????????"
Gaming,Stick PS3 ori mesin Sixaxis (non getar),Jakarta Barat,135000,4.8,419,114,3,paketany ru nyampe lgsung di cek salah satu stik na analog na rusak...diorder yg ke-2x na...tolong jk order lg tolong dicek kondisi stiknya sblum dikirim...terimakasih,Negative,Fear,25,paketany ru nyampe lgsung di cek salah satu stik na analog na rusak...diorder yg ke-2x na...tolong jk order lg tolong dicek kondisi stiknya sblum dikirim...terimakasih,paketany ru nyampe lgsung cek salah satu stik na analog na rusak...diorder yg ke-2x na...tolong jk order lg tolong dicek kondisi stiknya sblum dikirim...terimakasih
Muslim Fashion,Konektor Tali Masker Kristal Hijab - Silver,Jakarta Timur,17500,4.9,2707,718,5,Bagus banget,Positive,Love,2,bagus banget,bagus banget
Computers and Laptops,Charger Adaptor MacBook Pro 2008 2009 2010 2011 2012 Magsafe 1 60W ORI,Jakarta Pusat,230000,4.9,1408,721,1,"Sangat mengecewakan, barang yg dikirim tidak sesuai konfirmasi, sampai harus bolak-balik 2 kali, saya harus nanggung 6 X ongkos kirim....SANGAT MENGECEWAKAN",Negative,Anger,21,"sangat mengecewakan, barang yg dikirim tidak sesuai konfirmasi, sampai harus bolak-balik 2 kali, saya harus nanggung 6 x ongkos kirim....sangat mengecewakan","sangat mengecewakan, barang yg dikirim tidak sesuai konfirmasi, sampai harus bolak-balik 2 kali, saya harus nanggung 6 x ongkos kirim....sangat mengecewakan"
Muslim Fashion,Jilbab Pashmina Plisket Diamond Hijab Pasmina Lipit ORI Murah Kekinian - Army,Kab. Sleman,65800,4.8,2265,791,1,"ada noda kuning di jilbab nya,pendek,kaku!",Negative,Anger,6,"ada noda kuning di jilbab nya,pendek,kaku!","noda kuning jilbab nya,pendek,kaku!"
Animal Care,Cupang Hias Halfmoon Male / Betta Fish Halfmoon - Random,Kota Tangerang,99000,4.8,1237,561,5,"mantap banget, ikan cupang sehat, lincah dan langsung menyesuaikan dengan air di dalam aquarium baru. ekor sirip half moon bgt!",Positive,Love,20,"mantap banget, ikan cupang sehat, lincah dan langsung menyesuaikan dengan air di dalam aquarium baru. ekor sirip half moon bgt!","mantap banget, ikan cupang sehat, lincah langsung menyesuaikan air dalam aquarium baru. ekor sirip half moon bgt!"
Body Care,Lifebuoy Shampo Anti Ketombe Anti Dandruff Milknutristrong 900Ml,Kab. Tangerang,76900,4.9,10000,4973,3,lamaaaaaa bngt kirimnya,Negative,Anger,3,lamaaaaaa bngt kirimnya,lamaaaaaa bngt kirimnya
Computers and Laptops,MOUSEPAD GAMING FANTECH FIREFLY MPR800s RGB,Jakarta Barat,399000,5.0,3941,2281,5,Mantap banget kualitasnya gak usah diragukan lagi,Positive,Love,7,mantap banget kualitasnya gak usah diragukan lagi,mantap banget kualitasnya gak usah diragukan lagi
Health,Masker Evo PlusMed 4d Medis - Putih,Kota Bandung,135000,5.0,66000,13800,5,"Yeay dapet harga diskon, beli 2 box, sampai tepat waktu. Terima kasih",Positive,Happy,12,"yeay dapet harga diskon, beli 2 box, sampai tepat waktu. terima kasih","yeay dapet harga diskon, beli 2 box, sampai tepat waktu. terima kasih"
Mother and Baby,"Mamaway Korset Pelangsing Pasca Melahirkan Nano Bamboo - Abu-abu,M",Jakarta Utara,1200000,4.9,2236,1213,5,ini enak bgt di pakai setelah caesar. di pakai saat duduk jg nyaman tidak bikin sakit. rekomen pokok nya.,Positive,Happy,19,ini enak bgt di pakai setelah caesar. di pakai saat duduk jg nyaman tidak bikin sakit. rekomen pokok nya.,enak bgt pakai setelah caesar. pakai saat duduk jg nyaman tidak bikin sakit. rekomen pokok nya.
Food and Drink,MALING WOST TTS BRAND 397GR (PORK LUNCHEON MEAT/NON HALAL),Kota Bandung,48000,5.0,16000,3321,5,pelayanan top bgt.exp lama.stp beli maling slalu ke toko ini.the best seller,Positive,Happy,12,pelayanan top bgt.exp lama.stp beli maling slalu ke toko ini.the best seller,pelayanan top bgt.exp lama.stp beli maling slalu toko ini.the best seller
Party Supplies and Craft,HARGA GROSIR KEMBANG API ROMAN CANDLE 8 SHOTS 0.8' (SATUAN)!!,Kota Bekasi,13500,4.9,19600,1410,1,"Admin toko ini tdk punya sopan santun, bukannya cari solusi msalah, ini malah emosional dan hina pembeli. , gk pnya etika dan gk sekolah x, ,",Negative,Fear,26,"admin toko ini tdk punya sopan santun, bukannya cari solusi msalah, ini malah emosional dan hina pembeli. , gk pnya etika dan gk sekolah x, ,","admin toko tdk punya sopan santun, bukannya cari solusi msalah, malah emosional hina pembeli. , gk pnya etika gk sekolah x, ,"
Toys and Hobbies,POP IT MURAH RAINBOW UNICORN fidget push Pop Its Fidget Toy Push POPIT - UNICORN RAINBOW,Jakarta Barat,6000,4.8,11200,1647,5,mantaaaaap sesuai dengan �g di gambar nya jujur dan amanah seler nya .ngak nyesel belanja di toko ini .pokok nya mantaaaaap deh,Positive,Love,22,mantaaaaap sesuai dengan �g di gambar nya jujur dan amanah seler nya .ngak nyesel belanja di toko ini .pokok nya mantaaaaap deh,mantaaaaap sesuai �g gambar jujur amanah seler .ngak nyesel belanja toko .pokok mantaaaaap deh
Food and Drink,Keripik tempe 200 gram,Jakarta Timur,17500,4.9,16600,2502,1,hancurrrr. agak keras dan rasanya sudah lama,Negative,Anger,7,hancurrrr. agak keras dan rasanya sudah lama,hancurrrr. agak keras rasanya sudah lama
Body Care,dr soap Hand Antiseptic Spray 60ml (Urban Shee),Kota Surabaya,45000,5.0,4983,1072,5,Sudah purchase kedua kali dan cocok dengan kulit tangan yg agak sensitif.,Positive,Love,12,sudah purchase kedua kali dan cocok dengan kulit tangan yg agak sensitif.,sudah purchase kedua kali cocok kulit tangan yg agak sensitif.
Muslim Fashion,"SALMAN BAJU KOKO MUSLIM PRIA LENGAN PANJANG BAJU KOKO COWOK - Putih, L",Jakarta Barat,89000,4.5,1907,716,1,bajunya kok gak sesuai dg fotonya. bahkan mereknya gak ada / digunting,Negative,Fear,12,bajunya kok gak sesuai dg fotonya. bahkan mereknya gak ada / digunting,bajunya kok gak sesuai dg fotonya. bahkan mereknya gak / digunting
Movies and Music,Suling YAMAHA YRS-23 Original / Seruling Yamaha,Jakarta Barat,29490,4.9,8598,1289,2,setelah dipakai selama beberapa hari suara menjadi tidak jelas apakah produk ini ori? saya liat di sarung seruling itu bukan made in indonesia tetapi di serulingnya itu made in indonesia apa itu yamaha kw?,Negative,Fear,34,setelah dipakai selama beberapa hari suara menjadi tidak jelas apakah produk ini ori? saya liat di sarung seruling itu bukan made in indonesia tetapi di serulingnya itu made in indonesia apa itu yamaha kw?,setelah dipakai selama beberapa hari suara menjadi tidak jelas apakah produk ori? saya liat sarung seruling bukan made in indonesia tetapi serulingnya made in indonesia apa yamaha kw?
Body Care,L'Oreal Professionnel Hairspa Deep Nourishing Shampoo - Rambut Kering,Jakarta Barat,144000,4.9,1183,566,5,top markotoooopppp,Positive,Love,2,top markotoooopppp,top markotoooopppp
Other Products,Tinta plastisol Brain Plus putih 1kg,Kab. Bandung,60500,5.0,1664,535,5,"mantep, respon cepat, pengiriman instan. recomended banget",Positive,Love,7,"mantep, respon cepat, pengiriman instan. recomended banget","mantep, respon cepat, pengiriman instan. recomended banget"
Kitchen,[GROSIR] TIMBANGAN KUE DIGITAL DAPUR 10KG 10 KILOGRAM 1000 GRAM 1000G,Kota Bekasi,59900,4.7,2463,932,3,packing tdk dikemas dan asal kirim lgsung pdhal kondisi dusnya sudah rusak. mgkin karena harga barangnya murah Rp.25.000. jd tdk dikemas rapih.,Negative,Fear,22,packing tdk dikemas dan asal kirim lgsung pdhal kondisi dusnya sudah rusak. mgkin karena harga barangnya murah rp.25.000. jd tdk dikemas rapih.,packing tdk dikemas asal kirim lgsung pdhal kondisi dusnya sudah rusak. mgkin harga barangnya murah rp.25.000. jd tdk dikemas rapih.
Animal Care,Spray Penghilang Bau Kencing Kucing Anjing - Aroma Lavender,Jakarta Utara,55000,4.9,2217,1143,5,"barang ok, sesuai pesanan, pengiriman ok",Positive,Happy,6,"barang ok, sesuai pesanan, pengiriman ok","barang ok, sesuai pesanan, pengiriman ok"
