Category,Product Name,text_norm,Sentiment,Emotion,Customer Rating
Food and Drink,Abon sapi MESRAN manis 250gr Oleh tradisional khas SOLO enak gurih - manis,"beli abon 2 srundeng 2 tapi salah dikasih srundeng semua 4 jd ga jadi dpt abon krn klo retur hrs ngirim brg yg salah, ribet..",Negative,Anger,1
Kids and Baby Fashion,Tas Sekolah Anak SD Laki 3 in 1 Cowok - Fendi series - Hitam,barang tidak sesuai gambar,Negative,Fear,1
Sport,MINISO Matras Yoga Pola Garis Tubuh 5mm Matras Yoga Kebugaran Rumah - Abu-abu,pengiriman lama sekali,Negative,Anger,1
Computers and Laptops,SanDisk Cruzer Blade 16GB CZ50 Flashdisk,"waw murah bangetttt, packingnya rapih, produknya bagus keren mantap. sangat uhuuy pisan deh pokoknya hehehehehe",Positive,Love,5
Tour and Travel,Pullman Ciawi Vimala Hills Resort and Spa Hotel,"highly recommend seller, sangat ramah dan komunikatif dalam memberikan konsultasi serta sabar dalam menjelaskan detail pertanyaan. proses ordering hingga terbit vouchernya sangat cepat. good job ????????",Positive,Love,5
Household,Plastik Buble Wrap - BUBBLEWRAP,sedikit masukan klw utk buble warp agar bagian dalam juga di bungkus jika ada pemesanan brg yg dibungkus bersamaan dgn lampun yg mudah pecah. terima kasih????,Negative,Fear,3
Automotive,Orios LED H6/M5 DC 6000K Lampu Motor,"nyesel beli , kagak terang",Negative,Fear,1
Office & Stationery,"Notebook #Binding/ Custom/ Planner Dotted/ Grid/ Journal/ Agenda - garis, Hitam","pengiriman lama, barang nya cacat tolong diperbaiki layanan nya !",Negative,Anger,1
Kids and Baby Fashion,BAJU SETELAN ANAK LAKI-LAKI ASTRONOT UK 1-10 TAHUN - 3 TAHUN,bahannya tipis bgt. dipake panas sablonan juga jelek.,Negative,Anger,2
Toys and Hobbies,Kereta Thomas Mainan Thomas,"merek kereta nya beda banget sama di gambar yg dijual. merek yg dijual keluaran china. dan bukan merek thomas train set, tapi thamos train set. rel kretanya juga gk bisa rata stabil. kalo nyari kualitas mending cari yang lain. saya aja ketipu sebenrnya. gk liat review dulu. mgkn kalo penjualnya ngasih barang yg sesuai gambar saya bakal puas.",Negative,Fear,1
Mother and Baby,Gendongan Bayi Depan Hipseat / Baby Carrier / Hipseat Bayi Tuturu - Hitam,barang tidak ok,Negative,Sadness,1
Body Care,Lux Hand Sanitizer Jasmine 50ml,"parah banget sih responnya, komplain barang kurang, disuruh via wa, sudah wa disuruh lagi lewat marketplace, ampun dah, sejelek ini pelayanan sekelas official unilever",Negative,Anger,1
Mother and Baby,Merries Pants Positive Skin L 35,barang udah sampai dan diterima sesuai pesanan.. top markotop gan.. mantap lah pkk nya gan.. thx u gan.. ????,Positive,Happy,5
Beauty,Madame Gie Silhouette Eyeliner Small (48 Jam) - Lime Green,"kalo mau kirim baca note nya dong,...masa tiga2 nya dikirim warna sama,..trus fungsinya catatan buat apa",Negative,Anger,1
Gaming,PS4 Naruto Shippuden Ultimate Ninja STORM 4 : Road to Boruto Reg 3 - Reg All USA,"kelengkapan sesuai. game nya seru!. gaming terbaik.. untuk kesekian kalinya beli dsni yang tentu aj selalu memuaskan, memuaskan dan memuaskan... intinya seller : responsif (seller yang ramah, komunikatif bgt dah), packing jg rapi bgt (proteksi untuk pengiriman sangat terjaga), barang yang sesuai (original dong pastinya), proses pengiriman yang cepat, terus dapet lagi bonus tumbler nya luar biasa sekali, thanks yh gan... buat lo pada yang mau beli dsni, langsung aj, gk ush ragu2, sangat recomended sekali, tidak akan mengecewakan... perfect, mantap, top markotop, the best of the best... sekali lagi thanks yh gan, sukses selalu dah ????????????????????????????",Positive,Love,5
Gaming,Stick PS3 ori mesin Sixaxis (non getar),paketany ru nyampe lgsung di cek salah satu stik na analog na rusak...diorder yg ke-2x na...tolong jk order lg tolong dicek kondisi stiknya sblum dikirim...terimakasih,Negative,Fear,3
Muslim Fashion,Konektor Tali Masker Kristal Hijab - Silver,bagus banget,Positive,Love,5
Computers and Laptops,Charger Adaptor MacBook Pro 2008 2009 2010 2011 2012 Magsafe 1 60W ORI,"sangat mengecewakan, barang yg dikirim tidak sesuai konfirmasi, sampai harus bolak-balik 2 kali, saya harus nanggung 6 x ongkos kirim....sangat mengecewakan",Negative,Anger,1
Muslim Fashion,Jilbab Pashmina Plisket Diamond Hijab Pasmina Lipit ORI Murah Kekinian - Army,"ada noda kuning di jilbab nya,pendek,kaku!",Negative,Anger,1
Animal Care,Cupang Hias Halfmoon Male / Betta Fish Halfmoon - Random,"mantap banget, ikan cupang sehat, lincah dan langsung menyesuaikan dengan air di dalam aquarium baru. ekor sirip half moon bgt!",Positive,Love,5
Body Care,Lifebuoy Shampo Anti Ketombe Anti Dandruff Milknutristrong 900Ml,lamaaaaaa bngt kirimnya,Negative,Anger,3
Computers and Laptops,MOUSEPAD GAMING FANTECH FIREFLY MPR800s RGB,mantap banget kualitasnya gak usah diragukan lagi,Positive,Love,5
Health,Masker Evo PlusMed 4d Medis - Putih,"yeay dapet harga diskon, beli 2 box, sampai tepat waktu. terima kasih",Positive,Happy,5
Mother and Baby,"Mamaway Korset Pelangsing Pasca Melahirkan Nano Bamboo - Abu-abu,M",ini enak bgt di pakai setelah caesar. di pakai saat duduk jg nyaman tidak bikin sakit. rekomen pokok nya.,Positive,Happy,5
Food and Drink,MALING WOST TTS BRAND 397GR (PORK LUNCHEON MEAT/NON HALAL),pelayanan top bgt.exp lama.stp beli maling slalu ke toko ini.the best seller,Positive,Happy,5
Party Supplies and Craft,HARGA GROSIR KEMBANG API ROMAN CANDLE 8 SHOTS 0.8' (SATUAN)!!,"admin toko ini tdk punya sopan santun, bukannya cari solusi msalah, ini malah emosional dan hina pembeli. , gk pnya etika dan gk sekolah x, ,",Negative,Fear,1
Toys and Hobbies,POP IT MURAH RAINBOW UNICORN fidget push Pop Its Fidget Toy Push POPIT - UNICORN RAINBOW,mantaaaaap sesuai dengan �g di gambar nya jujur dan amanah seler nya .ngak nyesel belanja di toko ini .pokok nya mantaaaaap deh,Positive,Love,5
Food and Drink,Keripik tempe 200 gram,hancurrrr. agak keras dan rasanya sudah lama,Negative,Anger,1
Body Care,dr soap Hand Antiseptic Spray 60ml (Urban Shee),sudah purchase kedua kali dan cocok dengan kulit tangan yg agak sensitif.,Positive,Love,5
Muslim Fashion,"SALMAN BAJU KOKO MUSLIM PRIA LENGAN PANJANG BAJU KOKO COWOK - Putih, L",bajunya kok gak sesuai dg fotonya. bahkan mereknya gak ada / digunting,Negative,Fear,1
Movies and Music,Suling YAMAHA YRS-23 Original / Seruling Yamaha,setelah dipakai selama beberapa hari suara menjadi tidak jelas apakah produk ini ori? saya liat di sarung seruling itu bukan made in indonesia tetapi di serulingnya itu made in indonesia apa itu yamaha kw?,Negative,Fear,2
Body Care,L'Oreal Professionnel Hairspa Deep Nourishing Shampoo - Rambut Kering,top markotoooopppp,Positive,Love,5
Other Products,Tinta plastisol Brain Plus putih 1kg,"mantep, respon cepat, pengiriman instan. recomended banget",Positive,Love,5
Kitchen,[GROSIR] TIMBANGAN KUE DIGITAL DAPUR 10KG 10 KILOGRAM 1000 GRAM 1000G,packing tdk dikemas dan asal kirim lgsung pdhal kondisi dusnya sudah rusak. mgkin karena harga barangnya murah rp.25.000. jd tdk dikemas rapih.,Negative,Fear,3
Animal Care,Spray Penghilang Bau Kencing Kucing Anjing - Aroma Lavender,"barang ok, sesuai pesanan, pengiriman ok",Positive,Happy,5
Books,[ ORIGINAL ] Atlas Anatomi Manusia Edisi 7 - Frank H Netter,"isi buku bagus, saya beli sekalian minta disampul. tetapi halaman-halaman banyak yang menyatu, harus kita potong dengan cutter atau pisau secara manual. sebenarnya saya tidak masalah tetapi saran saya sebaiknya seller memeriksa kembali barang sebelum dikirimkan dan memberitahu apabila ada kecacatan. kemudian bila ada konsumen yang chat setelah barang sampai jangan cuman diread saja. semoga bisa jadi bahan intropeksi dan membuat tokonya lebih maju",Positive,Happy,3
Beauty,IKAT RAMBUT KOREA TOWEL RING SET ISI 40 PCS - All black,mengecewakan!!!,Negative,Anger,1
Muslim Fashion,Bella Square Hijab Segiempat Part 5,"bagus, admin garcep warna kosong langsung konfirmasibahannya adem. jahitan rapi. warnanya cantik ??.",Positive,Happy,4
Toys and Hobbies,UNO Card,"yg bikin kecewa pesen 6 items yg nyampe cuma satu. masih saya tunggu kekurangan barangnya uno stacko kayu, uno card 2pcs dan werewolf 2pcs. kalau tidak tolong refund aja uangnya.",Negative,Sadness,1
Toys and Hobbies,"DOMINO BATU WARNA SPEEDS + BOX KAYU COKLAT TEBAL 1,5 cm LX 047-04",mantaaappp bagus kereeennn??????????,Positive,Love,5
Sport,Golok Patimura Ukir Baja,beli 2 datangnya 1 barang gk sesuai foto ketajaman biasa yg jual goblok selamat makan uang haram,Negative,Anger,1
Household,Payung Kapsul Payung Mini lipat 3 Micro Capsule Umbrella anti UV - Biru,"barang sesuai deskripsi, baguss lucu , bisa dibawa kemana mana, mudah�an awet",Positive,Love,5
Men's Fashion,Emrys Simple Ring Deception Real Titanium Anti Karat Cincin Titanium P - 6,"beli barang tapi barang nya sendiri tidak pernah datang, sementara status selesai & pengembalian uang belum juga dilakukan sampai saat ini",Negative,Fear,1
Office & Stationery,Lakban Bening KSATRIA Tape 200 Yard,"riject bener2 kecewa, langganan bukan cuma beli sekali tapi barang ga di cek saat mau packing",Negative,Sadness,1
Kids and Baby Fashion,Tas Sekolah Anak SD Laki 3 in 1 Cowok - Fendi series - Hitam,"produk sgt biasa..jauh bgt bedanya sm foto dgn realnya..pknya resleting biasa, bahan kasar.",Negative,Fear,3
Kids and Baby Fashion,"Legging Stripe Anak Perempuan 7 - 13 Th / Leging Strip / Lejing Polos - Hitam, polos","respon lama,proses lama. not recomended!",Negative,Fear,2
Mother and Baby,"MOOIMOM Casual Hipseat Carrier Gendongan Bayi - 3 - 36 Bulan, Abu-abu","kardus rusak, packing jelek",Negative,Anger,2
Other Products,PIPET TETES 13cm,pipetnya tidak dikirim. .,Negative,Fear,1
Food and Drink,Pia Medan Lau Pho Piang Merk Damai,"pia nya sudah sampai kak, tp pas di buka pada hancur smua. padahal sudah di bubble wrap",Negative,Sadness,2
Mother and Baby,"merries S , M , L , XL - L38",kenapa pesananya ndk sesuai ukuran yg di pesan... klo stok kosong ya di ubah..,Negative,Anger,1
Carpentry,Semprotan Air,beda sekali kwalitas nya dgn penampilan foto.,Negative,Fear,1
Party Supplies and Craft,"PAPER TRAY TATAKAN MAKAN KERTAS / PIRING KERTAS UNTUK RESTORAN CAFE - Cokelat, 12x12 cm",produk sangat baik dan pengemasan rapi,Positive,Happy,5
Phones and Tablets,Kabel Data Iphone Original Ori Cable Data Ip 6 6plus 7 7plus 8 8plus,pengiriman cepat. kabel sesuai plus dikasih bonus pelindung kabel. top lah ??,Positive,Happy,5
Women's Fashion,Celana pendek wanita rayon polos adem variasi warna - WARNA 11,tidak sesuai dengan foto,Negative,Sadness,3
Movies and Music,Selang Pianika Yamaha,barang berfungsi baik semoga awet,Positive,Happy,4
Food and Drink,Kripik Usus Ayam 1kg Super,"rasanya gak spt biasanya. pembelian yg ke 3 ini asin kebangetan !!! udah gitu packingannya cuma dibuble wrap, tdk diberi dos spt biasanya, sehingga kripiknya banyak yg hancur !!",Negative,Anger,1
Animal Care,Promo: BOLT makanan kucing kering rasa Tuna REPACK,barang sesuai pesanan paking standar bagus pengiriman cepat sampai tks gan,Positive,Happy,5
Electronics,EMOJI ALARM CLOCK - Jam Weker Alarm Digital Lampu Tidur Unik Anak - Putih,"barang sesuai deskripsi, recommended high quality product. seller: packaging ok",Positive,Love,5
Other Products,[PAKET HEMAT] Tag Gun - Alat Tembak Pasang Label + REFILL 5000 Pcs (W) - 35mm,"barang gampang rusak,jarumnya lepas terlempar",Negative,Fear,1
Animal Care,Obat Kutu Hewan Anjing & Kucing Bahan Alami RACOON / Flea Remover,"stelah pemakaian rutin, kutu anjing makin banyak. spot yang di spray malah makin banyak, padahal awalnya kutunya sedikit doang, nyesal produk ini.",Negative,Fear,1
Food and Drink,Roasted Bean Premium Robusta Natural Tuang Coffee 1kg - Biji Kopi,order yg k2 ko sy sangat kecewa...bungkus sudah pecah kopi berhamburan k mna� gak tau ini kesalahan dr selese seler atau kurir.,Negative,Sadness,1
Party Supplies and Craft,box clover segi 4 / kotak kado hadiah gift makanan cd bingkisan,"bagus kotaknya, harga nya murah.. pengiriman cepet...",Positive,Happy,5
Books,Buku The Intelligent Investor (Edisi Revisi) . Benjamin Graham HC,"penyok, packingnya juga kurang aman",Negative,Anger,3
Beauty,L'Oreal Paris Revitalift Crystal Purifying Micellar Water Oil Free - 400 ml,packing kardusnyasperti udh di buka.. gk rapih..,Negative,Sadness,1
Books,Your Name - Shinkai Makoto - Haru,"kecewa banget, barang lecet dan ada noda di sampul depan belakang, pengiriman lama banget pake kurir antaraja hih. buat adminnya kalo barang jelek gini jangan dikirim, jadi malas mo baca bukunya",Negative,Sadness,2
Other Products,Liquid A La Carte Cream Poundcake 100ML Liquid Ala Carte Alacar - 3MG,langganan ??????????,Positive,Love,5
Office & Stationery,"Notebook #Binding/ Custom/ Planner Dotted/ Grid/ Journal/ Agenda - garis, Hitam","salah kirim produk, admin lama banget balesnya. proses retur gak jelas",Negative,Fear,1
Gaming,"Ps2 fat Hdd external murah Playstation Ps 2 fat Sony - Hardisk 20GB, TANPA MEMORY","saat di unboxing barang terlihat bagus tpi pas baru di cek dengan seksama sticknya hancur dan bautnya hilang padahal packingan menggunakan kayu dan tidak ada penyok + ps baru di coba banyak game yg tidak mau serta dalam waktu 5 mnt ps langsung mati sendiri saat saya coba cek masalahnya ternyata kipas ps tidak menyala, saat saya tanya ke penjual ternyata ps hanya di cek sekedarnya saja dan setelah saya komplain saya disuruh mengembalikan ksana untuk di cek dan ongkir pp saya tanggung sendiri, sangat miris saya sangat percaya dengan toko meskipun ada ulasan yg buruk tpi saya tetap percaya dan tenyata barang yg datang sangat tdk memuaskan",Negative,Fear,1
Computers and Laptops,Thermal Grizzly Kryonaut Thermal Paste 1 Gram cooler ORIGINAL - KEMASAN BARU,"anjing ternyata palsu ini barang bangsat2 awas ketipu oi, yang asli ada segel distributor nya",Negative,Anger,1
Kids and Baby Fashion,"Legging Stripe Anak Perempuan 7 - 13 Th / Leging Strip / Lejing Polos - Hitam, polos","barang tidak sesuai dengan di foto, leggingnya jg ada yg sobek",Negative,Fear,3
Food and Drink,FUKUMI BERAS PORANG BOX SACHET,"baru kali ini masak nasi porang tanpa berasa karet, praktis pula cuma diseduh air panas. mantaabbb",Positive,Love,5
Beauty,Madame Gie Nailmoji Nude Series (Satuan) - Shimashima,ada 1 shade yg salah kirim,Negative,Sadness,4
Computers and Laptops,HTB-3100 25km single fiber mode transceiver Optical Media Converter,barang error 1,Negative,Sadness,1
Office & Stationery,Tipex Correction Tape CF-235 Joyko,"beli banyak macam barang, tapi produk ini tidak dikirimkan",Negative,Fear,1
Office & Stationery,Deli Notebook A5 72 Lembar dengan pinggiran plastik T3272 - alpaca,barang tidak sesuai dengan jumlah pesanan,Negative,Fear,1
Household,Triple W Smart LED Digital Alarm Clock Jam Meja Weker Lampu Tidur - Hitam,"wekernya bagus, gampang settingnya ( baca petunjuk jangan males ) rgb lightingnya juga masuk di body warna hitamnya, barangnya irit space, dan yang paling penting angka di led nya gampang kebaca ( waktu terang )",Positive,Happy,5
Kitchen,Maxim Tools Egg Separator/Pemisah Kuning Putih Telur,"barang yang dikirimkan tidak sesuai dengan orderan saya, ditanya pihak maxim tidak ada balasan sama sekali hanya dibaca saja. dari pihak tokopedia pun sudah dikomplain malah transaksinya selesai dan dananya diteruska ke maxim. lalu barang saya yang kurang bagaimana? tokopedia bilang dichat saja. pintar sekali jawabannya. sudah saya komplain kalo penjual tidak merespon. bobrok sekali sistemnya.",Negative,Fear,1
Other Products,PACKING DUS + BUBBLE - TAMBAHAN DUS + BUBBLE,jelek sekali packingnya...hand body saya pada tumpah...,Negative,Anger,1
Camera,"lensa jepit / cliplens camera 3in1 ( fish eye , wide , macro ) untuk semua kamera hp bb , iphone , samsung , dll",pengiriman cepat...tp kurang teliti saat dikirim...macro lensnya tidak ada..saya cuma dapet fish eye sama wide angle... :( padahal macro lens yg saya mau..mohon dicek dulu seblm dikirim..agak kecewa..,Negative,Sadness,2
Men's Fashion,kacamata anti radiasi dewasa fashion pria dan wanita terbaru 98029 - Black,"seller ramah, pengiriman cepat. gak nyangka ternyata paketnya bagus banget dan kacamatanya memang sangat berguna buat orang yang sering pakai hp.????",Positive,Happy,5
Men's Fashion,Techdoo Kaos Kaki Ankle All Size 35-45 Kaoskaki Pendek KK01 - Putih,kaget pas dateng ternyata bahannya bagus kualitasnya bagus padahal harganya murah wk,Positive,Happy,5
Phones and Tablets,Kabel Data Iphone Original Ori Cable Data Ip 6 6plus 7 7plus 8 8plus,"respond dan pengiriman cepat, barang ok",Positive,Happy,5
Muslim Fashion,HIJAB VOAL |VOAL ULTRAFINE | LUNA VOAL YOUTHSCARF (basic colour) - LV-DENIM,gk ada plat besinya...cm ada label merk bahan,Negative,Fear,2
Property,cover body mobil Ertiga xenia avanza,sudah diterima dan sesuai. baguussssss,Positive,Love,5
Toys and Hobbies,"DOMINO BATU WARNA SPEEDS + BOX KAYU COKLAT TEBAL 1,5 cm LX 047-04","sangat kecewa, tidak seperti dulu. pakcing sangat buruk. box kayu hancur. beli 20 bh untuk jual lagi. gak ada yang bagus. retur kena biaya lagi. terpaksa kami jual tanpa box kayu.",Negative,Sadness,1
Women's Fashion,Tanktop Singlet Dalaman Wanita Gaya Korea - Jfashion Naraya,bahannya adem. enak dipakai ?. modelnya kekinian ??. jahitannya rapi. bahan menyerap keringat. tidak menerawang.,Positive,Happy,5
Women's Fashion,jam tangan wanita BIDEN mode bisnis 3ATM Tahan Air wanita Mewah Kasual - Putih,"barang tidak sesuai gambar,mengecewakan",Negative,Sadness,1
Other Products,BUBBLE PACK (PACKING TAMBAHAN),sangat kecewa pesen 2 dkirim 1 huuuuuufffttt,Negative,Sadness,1
Toys and Hobbies,Kuy Cartridge Original - V1,hati hati guys gua beli tiga terus satu bener bener gabisa dipake. sengaja ngasih bintang satu lagian gua chat abangnya ga respon,Negative,Fear,1
Phones and Tablets,Samsung Galaxy A12 4/128 GB Garansi Resmi SEIN - Hitam,barangnya original ??. warna sesuai pesanan. suara jernih. penjualnya ramah banget. packaging aman ??. respon penjualnya top.,Positive,Happy,5
Kids and Baby Fashion,BAJU SETELAN ANAK LAKI-LAKI ASTRONOT UK 1-10 TAHUN - 3 TAHUN,begitu di cuci sablonan lepas,Negative,Sadness,2
Toys and Hobbies,Nezuko Kimetsu No Yaiba Nude Version Action Figure,cantik banget,Positive,Love,5
Carpentry,Semprotan Air,"brg dtg ga sesuai pict, ga bs d pake, rusak pengaturan aliran air nya, itung2amal aza, hrg flashsale dan ongkir 15k",Negative,Fear,1
Women's Fashion,CD01 Celana Dalam CD Wanita Seemless 3D Japanese Style Honeycomb - grey,ukurannya sesuai. bahannya adem. produk sesuai dengan foto.,Positive,Happy,5
Toys and Hobbies,Paket UNO STACKO + KARTU UNO + 2 DADU - paket 3 in 1,"seller kurang respon, kecewa",Negative,Sadness,1
Sport,ALAT BANTU SIT UP/PENAHAN KAKI SIT UP/SIT UP STAND/HOME FITNESS - Hitam,hati2 untuk yng beli alat ini. saya baru pake 2 kali dan besiny copot dari base nya. seller tidak memberikan solusi padahal saya meminta replacement dan bukan refund. saya sarankan untuk membeli merek lain dripda membeli brang defect dari toko ini.,Negative,Fear,1
Mother and Baby,"MOOIMOM Casual Hipseat Carrier Gendongan Bayi - 3 - 36 Bulan, Abu-abu",bahannya nyaman ??. nyaman di punggung. beban tersebar merata. desain ergonomis. gampang dipakai. penjualnya ramah banget. bahannya fleksibel.,Positive,Happy,5
Kids and Baby Fashion,Kaos Kaki Sekolah SD / Kaos Kaki Anak anak - Hitam Polos,tidak sesuai dengan apa yang dibayangkan,Negative,Fear,1
Sport,"Atalon Running Pants - Celana Pendek Ringan Lari Jogging Marathon - Hitam, M","barang cakep, bahan adem, kantong juga lega plus ada resleting, pengiriman cepat, terbaik",Positive,Happy,5
Office & Stationery,Deli Business Notebook Leather Cover 25K Buku Catatan Bahan Kulit 7911 - 25K 120 LEMBAR,"pelayanan sangat buruk, no debat!",Negative,Anger,1
Household,Set Sapu Pengki Sekop Sampah Lipat Kombinasi Sapum Broom Set D63 - Putih D65,"sory harus kasih bintang 2, krna pengiriman salah sampai 2 kali kirim, sebaiknya diperhatikan lagi bagian pengirimannya",Negative,Sadness,2
Kitchen,GM Bear Set Pisau Dapur isi 5pcs Hitam 1083-Pisau Set 5 Pcs,"pesanan tidak sesuai, barang yang dipesan adalah merk gm bear warna putih, tapi yang dikirim merk buck warna hitam, saya sangat kecewa",Negative,Sadness,1
Animal Care,Makanan kucing - Bolt Repack 1kg - Bolt Ikan,"moon maaf ya gan, tadi paketnya sy buka ternyata ada 1 bungkus seperti sudah di buka dengan silet/cutter krn sobekannya rapih dari ujung ke ujung dan bungkusnya di posisikan terbalik dan ketika di buka jadi berantakan semua isinya. saya pesan 3 kg (3 bungkus) yg rusak 1 kg (1 bungkus). saya sudah sering pesan dan sudah 2 kali kejadian seperti ini. tp kejadian yg sekarang yg paling parah dan maaf tidak bisa saya toleransi krn menurut saya sudah kelewatan. dan saya selalu kasih bintang 5 setiap selesai transaksi namun yg skrng ini mohon maaf, saya kasih bintang 1 supaya ada perbaikan di kemudian hari.",Negative,Fear,1
Party Supplies and Craft,Bubble Wrap Packing Tambahan,"ga guna, sebelum dilapis ini hrusnya dilapis kardus lah minimal.",Negative,Anger,2
Camera,Kids camera Kamera Mini anak / camera anak / camera kids X2 - Merah Muda,"kameranya berfungsi, untuk kualitas gambar tentunya sesuai harga ya, seperti kamera anak sejenis. sayangnya kabelnya kotor sekali, seperti bekas, sudah coba dibersihkan juga tidak bisa.",Positive,Happy,4
Toys and Hobbies,Kereta Thomas Mainan Thomas,buruk,Negative,Anger,1
Books,Gravity Falls: Journal 3,"penjual sangat tidak responsif, pengiriman sangat lama, pengen di cancel awalnya namun karena sudah sangat menginginkannya jadi ya sudahlah.",Negative,Fear,1
Office & Stationery,Ball Pen Pulpen Pena Joyko BP-273 Zeto 0.7 mm 1 Box 12 Pcs,"paket sudah sampai dengan selamat, pertahankan kualitas pelayanan dan harganya.. thanks seller dan tokped ..",Positive,Happy,5
Food and Drink,KERUPUK MAWAR PUTIH KHAS PALEMBANG 250 grm,alhamdulillah seperti biasa repeat order di sini free ongkir rasa enak harga murah dan pastinya gurih mantap krupuknya,Positive,Love,5
Books,Buku The Intelligent Investor (Edisi Revisi) . Benjamin Graham HC,pengiriman lama,Negative,Anger,1
Body Care,dr soap Hand Antiseptic Spray 60ml (Urban Shee),hand sanitizernya oke banget. wanginya enak & bikin tangan jadi halus abis dipakai. semoga pas kulitku lagi sensitif ga bikin sakit ??,Positive,Love,5
Mother and Baby,MOOIMOM Breathable Hipseat Carrier Gendongan Bayi - Navy Blue,"berat barang di deskripsi 4,5kg. padahal berat asli barang dari kurir saat diterima cuma 1kg. jadi ongkir sangat mahal dari kenyataan dan harus mengajukan komplain dll untuk bisa dapat refund ongkir. merepotkan.",Negative,Anger,1
